,teacher_id,alpha_index,batch_id,scrape_date,scrape_status,teacher_name,location,followers,languages,date_joined,about,image_url
7200,maitriall,j,73,2022-12-11 16:20:59.598405,name found,Joana Amaral,"Porto, Portugal",16 followers,Português,Joined in Sep 2020,"Mestre em Psicologia das Organizações e do Trabalho pela Universidade de Coimbra, Portugal.  
Experiência de 10 anos na área de Recursos Humanos -  formação e desenvolvimento. 
Professora de Hatha Yoga certificada pela Yoga Alliance UK e Coach certificada pela ICL....read more",https://users.insighttimer.com/VZ9lr5Xi4jZJBkQQeEnV2cRVGFq2/pictures/square_medium.jpeg
7201,jessicagoletz,j,73,2022-12-11 16:21:08.051046,name found,Jessica Goletz,"Detroit, MI, USA",16 followers,English,Joined in Jun 2020,"First year graduate student in the Developmental Psychology PhD program, working under the guidance of Dr. Marjorie Beeghly. Completed a Bachelor of Arts degree in 2016 in Honors Psychology and German Studies at Wayne State University....read more",https://users.insighttimer.com/E6C3P0T4L3H5Z7V2j9e6v5B1s1j1V7t5N5e4m6r8p9F6L3F7v8K2m1G5X2u7J8u0M3Q5Y6s1e0Z5S8F4e0w9m2e1z7W1u4X6E7k7/pictures/square_medium.jpeg
7202,restercise,j,73,2022-12-11 16:21:32.558567,name found,Josiah Pritchard,"Jacksonville Beach, FL, USA",16 followers,English,Joined in Mar 2021,"How would you rate your rest?  Rest is not about merely closing your eyes and letting time go by. Rest is not just about sleeping.  Rest is one of the most crucial functions for both your physical & mental wellbeing. It helps your body recover, and your brain regroup. Rest turbocharges your productivity & fuels your focus. Josiah Pritchard spent 20+ years designing & delivering employer sponsored health and wellbeing programs, that’s when he decided to shift his focus and start to research rest....read more",https://users.insighttimer.com/k9r4p1h9L0h6Y7q8y4t7z8Q5C2q3K3Q7A5W8a8F0d7v4B3F8R8E5W3T5v1f3J4N2L7E9k6s2H3W6C7m8W4t1w5k0T5P1F7F4u8Y2/pictures/square_medium.jpeg
7203,jcv,j,73,2022-12-11 16:21:40.514831,name found,Jaiver Caro Vides,"Bucaramanga, Santander, Colombia",16 followers,Español,Joined in Feb 2019,"Nací para servir a Dios llevando su mesnsaje a cada rincon de la tierra. Recibe una cordial bienvenida y queremos que sepas que nos alegra mucho que estés aquí. Todavía nos encontramos trabajando para dejar todo a punto de tal manera que  nuestro contenido
pueda bendecirte, edificar tu fe y serte de mucha utilidad en aquello para que lo necesites...read more",https://users.insighttimer.com/R0K4c3L5R3b7m6M7E1T8K1L0W2Z9A7c7B3g2b3r0d4F8n3K7K6Z7q0q5M1f5T5m9D1t2A2k3d2j5S6N4j9X4S8s3c9g6U4w5p4R1/pictures/square_medium.jpeg
7204,jeanakataria,j,73,2022-12-11 16:22:24.491063,name found,Jeana Kataria,"Melbourne, Australia",16 followers,English,Joined in Apr 2020,"Teaching you how to calm, ground and create a safe space within your body.",https://users.insighttimer.com/B0A8M8p8X8S5T9g4s3Q3r8s0y4Y3W2f7W0w1u3Y1p5A5X6J0j1M3Z5F5t9K9t6r2M3t5W8s1P0H1m4z1L8k9H3u4D9D5Q3h6a7B3/pictures/square_medium.jpeg
7205,jumelot,j,73,2022-12-11 16:22:49.250548,name found,Julien Melot,"Bali, Indonesia",16 followers,"English, BR. Português, Español, Indonesian, Français and Nederlands",Joined in Sep 2021,"Julien is an enthusiast Vipassana meditator, having attended multiple 10-day courses by S.N. Goenka. He has studied Himalayan Kriya Yoga at Sattva Yoga Academy in the Himalayas, with master Anand Mehrotra and has complemented his knowledge and practice of Kriya Yoga with a disciple of Master Pradeep Ullal, following 3 different levels of courses in Bali. Julien is also very versed into Jnana Yoga and has studied Vedanta with a life long student in Bali. He is passionate about meditation and has facilitated numerous meditations, workshops and yoga courses both off and online. Sharing his learnings is one of his passion and his Dharma. Aside from those spiritual practices, Julien is an ardent Earth protector, he designs and builds solar-powered boats that sail endlessly on solar energy only....read more",https://users.insighttimer.com/8CTo9myYLOhCpptIVdAV75RVqAn2/pictures/square_medium.jpeg
7206,jonkeppel,j,73,2022-12-11 16:23:13.241674,name found,Jon Keppel,,16 followers,English,Joined in Aug 2021,"Jon Keppel is from Akron, Ohio and is an author, speaker, musician, life artist, meditation guide, life coach and library worker who is passionate about democracy, knowledge sharing, peace, self mastery, abundance, library work, loving kindness, creative genius and imagination. He has been meditating for years. Gratefully he wishes to share all the good things he has learned....read more",https://users.insighttimer.com/UMrvBWDThRbKmGIT9ZdczIa1fio1/pictures/square_medium.jpeg
7207,solas,j,73,2022-12-11 16:23:21.295199,name found,Johanna Steinkellner,,16 followers,"English, Deutsch and Français",Joined in May 2021,"Johanna is passionate about art and healing. As a dancer, Reiki practitioner, musician and artist, she loves to alchemize the healing power of creativity, connection to nature, and body awareness. ",https://users.insighttimer.com/QIis1fM5FQNO7NnkdlraLPX9fvv1/pictures/square_medium.jpeg
7208,joshuaclark,j,73,2022-12-11 16:23:31.007101,name found,Joshua Clark,"Hessen, Germany",16 followers,Deutsch,Joined in May 2022,"Joshua Clark ist mit seinen 21 Jahren ein junger Publisher. In seinen Beiträgen baut er verschiedenste Techniken der Meditations und Psychoarbeit in eine Symbiose zum wissenschaftlichen Fundament. Er selbst studiert in Frankfurt a.M. Wirtschaftswissenschaften und plant in der Unternehmensberatung ""Fuss zu fassen""....read more",https://users.insighttimer.com/R2y6r0a7U2G4L6j0V0N2R6Q1q0v3X9F6K8a1u8z9P9R2K8L2L3J4j9q2D6J5e8v8H9k7B8p8b2s2J8a4B7q6n0w7X9Q9Y5B5F3S9/pictures/square_medium.jpeg
7209,jodieharrison,j,73,2022-12-11 16:23:53.935375,name found,Jodie Harrison,"San Diego, CA, USA",16 followers,English,Joined in Dec 2020,In touch with her spirituality and all six senses. Meditation and wellness coach. Tarot reader. ,https://users.insighttimer.com/C1G0P5s0U3b2h0J6w4h0V8z6C8R1F9N2j8Z3r7N3z9m4W5t5h6E3a1L0a7X5L5s6w1L6A3D3Y1k0b2v1M3a4M3g8s9P2k1t5b8s3/pictures/square_medium.jpeg
