,teacher_id,alpha_index,batch_id,scrape_date,scrape_status,teacher_name,location,followers,languages,date_joined,about,image_url
5069,gisele,g,51,2022-12-11 22:39:45.195730,name found,Gisele Bündchen,"Tampa, FL, USA",66.5k followers,English and BR. Português,Joined in Sep 2020,"Gisele Bündchen is a mother, author, philanthropist, and global environmentalist. Over the years, Gisele has faced a number of challenges, and credits meditation with helping her live a more conscious and joyful life, insights that she shares in her New York Times bestselling book, Lessons: My Path to a Meaningful Life. As a longtime meditation practitioner, Gisele believes we are all divine beings, and that when we quiet our minds, we will find that most of the answers we seek are inside us.

Gisele Bündchen é uma mãe, autora, filantropa e defensora do meio ambiente. Ao longo dos anos, Gisele enfrentou vários desafios e acredita que a meditação a ajudou a viver uma vida mais consciente e alegre. Ela compartilha essa ideia em seu livro, best-seller do New York Times, Aprendizados: Minha caminhada para uma vida com mais significado.Como praticante de meditação de longa data, Gisele acredita que todos somos seres divinos e que, quando acalmarmos nossas mentes, descobriremos que a maioria das respostas que buscamos está dentro de nós....read more",https://users.insighttimer.com/cTMI4hK0Fldrr5X7qv2ZtKzegoU2/pictures/square_medium.jpeg
5070,thetamusic,g,51,2022-12-11 22:39:48.333161,name found,Guenther Goerg,"Vienna, Austria",64.4k followers,Deutsch and English,Joined in Sep 2016,"Guenther is a musician, composer, and producer based in Austria. His mission is to create meditative music, soothing soundscapes, and inspiring audiobooks to help people relax, sleep with ease, heal, and find stillness in everyday life.

Join his Insight Timer group 'Guenther Goerg & Friends' to stay connected and for more information....read more",https://users.insighttimer.com/D8v0W1s2d5B4Q7M6y9Q3Y3n0r7Z9t6A6d5W8k6A2t7A0N2R7p0p3v2z2K4r4U1y1c7W0W4v3E4E0M1Z2K0m3L5U7L1T8L8R3b8S9/pictures/square_medium.jpeg
5071,glendacedarleaf,g,51,2022-12-11 22:40:07.668346,name found,Glenda Cedarleaf,USA,62.3k followers,English,Joined in Sep 2016,"Author of 3 books: ""Who are you, Santa Lucia?"", ""Meditative Bedtime Stories"" and ""A Guide to Writing and Recording Guided Imagery Meditations 70 Healing Scripts Included"", Glenda Cedarleaf MSW, provide these meditative journeys to bring you peace, help you sleep, and inspire your self-care and spiritual unfolding. She is a Heart-Centered Hypnotherapist and loves creating customized audios for meditators that include imagery and suggestions specific to each person's unique perspective....read more",https://users.insighttimer.com/M9B9j7x7T3f5A7Z5C6v2T1M4W8X7b2c9Z5T5W6Q9Q3d0M9f4Q4w4x9b7e8j1y9q1D0s7k0K6X6V0Y5R3r9P2N4P0D3E3D4w5T2h5/pictures/square_medium.jpeg
5072,giovanni,g,51,2022-12-11 22:40:30.743399,name found,Giovanni Dienstmann,"Airlie Beach, Australia",25.6k followers,"English, BR. Português, Français and Español",Joined in Sep 2016,"Giovanni is a meditation teacher, coach, and author of the best-selling books PRACTICAL MEDITATION and MINDFUL SELF-DISCIPLINE. He is also the writer behind the popular blog LiveAndDare. 

Giovanni has been intensely seeking personal and spiritual growth since his teenage years. In this process, he has practiced meditation daily (totaling over 11,000 hours), read hundreds of books, tried over 70 different techniques, and spent time on retreats with masters and instructors around the world....read more",https://users.insighttimer.com/V0n3P4H5C3W2v5Q7v4M4q3Q4H1T0v9M4g8p1e7q0n9N6h1A1q5n8M3U1y4v6X2u2j5d9J7c5A6a3X1C7x2m6T4U2Q9w6b0P2P8c3/pictures/square_medium.jpeg
5073,galeminchew,g,51,2022-12-11 22:41:14.062713,name found,Gale Minchew,"Texas, USA",24.1k followers,English,Joined in Sep 2016,"Psychologist, Lightworker, Author, Wife, Mom, Friend...but not necessarily in that order! My meditations combine tools such as guided imagery, visualization, relaxation, hypnosis, and soothing background music to assist with a variety of everyday concerns....read more",https://users.insighttimer.com/z4c7D5P0y6X4H9S5V2L8n4W5X8b8U7f3t7L6k2A8d9Y7F2X0z0P3x9Y7S1Z0T2R0t6w6v4y5G2f8d6q4R8J7q5V2Q2G9P2N9b0k6/pictures/square_medium.jpeg
5074,gaiameditation,g,51,2022-12-11 22:41:16.680553,name found,Gaia Meditation,"Paris, France",16.4k followers,Français and English,Joined in May 2018,"Gaia Meditation recordings include the technology of brainwave entrainment (binaural beats and isochronic tones) allowing the listener to experience deep meditative states in a quick and easy way. Our music is also tuned to specific frequencies such as 432 hz, the universal frequency of sacred geometry, as well as the Solfeggio frequencies, including 528 hz, the Love frequency.
To learn more about the benefits our recordings and to listen to more content, join us on our website Gaia Meditation....read more",https://users.insighttimer.com/A2n0J6X9e8a5T2b6f2b1x1C9W3m1w5e3y6q0J4H0b1A0f5H5A0R3M0j5T6A6Y3D9L8W9y3C0A6y8B5h6h2k1V8e3Q0h8k9r7W9A8/pictures/square_medium.jpeg
5075,gordonburnham,g,51,2022-12-11 22:41:19.650965,name found,Gordon Burnham,"California, USA",12.6k followers,English,Joined in Apr 2017,"Gordon Burnham promotes healing and spiritual awakening through meditation, guided meditations, music and the arts. He  is the author of 6 books on meditation & inspiration, poetry and guided meditations and has 6 CDs of kirtans & spiritual music available on iTunes and CDBaby. Gordon has lead workshops and given talks on Healing and Spiritual Awakening in spiritual/new age centers across the U.S.


...read more",https://users.insighttimer.com/n9Z4E9H3S1M5X3x3U0D2P5Y9g9c6c8h7H6f5A8y8d9d9A5c0d5M1d0L3Y4Q3B0B5F5p8B4G8X0P0G2k8X4f8b7U4p1J0G1N7Y8Y8/pictures/square_medium.jpeg
5076,gabrielastapff,g,51,2022-12-11 22:41:24.866047,name found,Gabriela Stapff,"Miami, FL, United States",10.7k followers,BR. Português,Joined in Jan 2019,"Olá! Me chamo Gabi, sou coach e terapeuta de autoconhecimento. E foi a partir do meu próprio processo de despertar que toda a minha vida se transformou. Por isso a minha missão hoje é levar esse despertar de consciência, autoconhecimento e propósito para o maior número de pessoas! Aqui você encontrará meditações para potencializar esse processo e juntos criarmos um lugar melhor. Espero que goste e saia mais inspirado do que entrou!...read more",https://users.insighttimer.com/r5U1p9D6K3U2D2T7a5f1w5A8q6w6D7X2n7F6u0Y8H5G7a8a7A6y1j3F8z8A4R3c7K6B8b8d9V4a8F1X8P7U5G6y5c3B4n2s1m4w3/pictures/square_medium.jpeg
5077,gabrielmenezes,g,51,2022-12-11 22:41:43.802989,name found,Gabriel Menezes,"São Paulo, State of São Paulo, Brazil",10.4k followers,BR. Português,Joined in Apr 2018,"DJ, Terapeuta Holístico, Especialista Internacional em Mindfulness, Liderança e Alta Performance certificado pela International Meditation Teachers 
Association, Membro Executivo do International Institute for Complementary Therapists, credenciado a American Mindfulness Research Association e Instrutor do SOMA Awakening Breathworks.

Registro Profissional: CRTH-BR 3128 (ABRATH - Associação Brasileira de Terapeutas Holísticos)...read more",https://users.insighttimer.com/d2D0x5N8b4k4y4W7v5F4z9Z3f3t6x2E4z2q9H2U5T9V6a1c0S3y6R6y7j3V4q0R7r2t9G1d9t3f0L1n2t3z3f4P3a1E4L2P5y1Q7/pictures/square_medium.jpeg
5078,garthstevenson,g,51,2022-12-11 22:41:48.505174,name found,Garth Stevenson,,8.7k followers,English,Joined in Dec 2018,"Garth Stevenson is a composer and double bassist. Raised in the mountains of Western Canada, nature became his inspiration and the common thread between his life and music. His solo albums are informed by his experiences carrying his double bass to the woods, beach, desert and Antarctica. iTunes praises ""The Southern Sea offers the aural equivalent of effortlessly swimming underwater without ever needing to come up for air.” Garth is known for his Music Meditation Hikes and as a film composer....read more",https://users.insighttimer.com/u4X3W5p9W4L1u2z4k7r4c1n6m8z6z0c6a3g8W5e5G3x4v1H7E3W0H8a1q7b6g7r6z8S7q4L5Y8j3F8r4r8Z7t1m6E4P0e8t2N7g9/pictures/square_medium.jpeg
