,teacher_id,alpha_index,batch_id,scrape_date,scrape_status,teacher_name,location,followers,languages,date_joined,about,image_url
2200,carlosvelosostrange,c,23,2022-12-11 07:13:21.325131,name found,Carlos de Bennic,"Copenhagen, Denmark",3.2k followers,"Dansk, English and Español",Joined in Mar 2018,"Carlos de Bennic is all about making that significant positive change in the lives of all the people he meets on his way. His path is through practical meditation, repetition, authenticity and challenges. By becoming more and more comfortable with the uncomfortable. By being willing to feel everything. 

And always, with just a little smile on his lips....read more",https://users.insighttimer.com/c7w8v6Z8g2p9P1x6V8U9M8Y9v5D7r2K8A2N8D8R7y6L1M1J0E8b9c5H9e2d7Z7L2Y4u4m2z7x4p3h5v9L6v4P2n6d9a4U0k1X4m8/pictures/square_medium.jpeg
2201,charlottewattshealth,c,23,2022-12-11 07:13:28.837206,name found,Charlotte Watts,"Brighton, England, United Kingdom",3.2k followers,English,Joined in Sep 2016,"I am an award-winning Nutritional Therapist with nearly 20 years’ experience and a Senior Yoga Alliance Yoga Teacher and Trainer, teaching since 2007. I have written many books, including my latest Good Mood Food, Yoga Therapy for Digestive Health and The De-Stress Effect. I give copies of whichever of these is most suitable with all consultations in my nutritional practice, to guide clients through as we investigate and explore their individual needs....read more",https://users.insighttimer.com/R3H1c1V9d8j9s0J2U1m7C4x6e9K2e2S1P5G8U8H9j6M6H7Q3v4T3J7w3G3V0D6g1C3r2m9K3F7w9T5x3s4J0t9q6N7M8Q7Q6H8b9/pictures/square_medium.jpeg
2202,buddhachad,c,23,2022-12-11 07:13:31.938326,name found,Chad Foreman,"Sunshine Coast, Australia",3.1k followers,English,Joined in Jul 2018,"Chad Foreman is a former Buddhist monk who studied and practiced full time with his Tibetan Guru Khensur Rinpoche for 6 years living in an isolated meditation retreat hut in a Buddhist community in  Australia. With his Guru's blessing Chad has been teaching meditation since 2002 and is the founder of the website The Way of Meditation. He conducts meditation workshops around Australia, offers meditation coaching, has written hundreds of blogs and now offers retreats on the Sunshine Coast Qld....read more",https://users.insighttimer.com/B2D9e0C1z5a7f1X7d2X6j8L4J5K8f9e1X9A6M1y6p8Z3K2x2L3Z6a6h4j8u5U5W4h0m0T4C6N9s4b5j8G0E7R6Z7J4d5E8t3D3d0/pictures/square_medium.jpeg
2203,cherylbrownyoga,c,23,2022-12-11 07:13:50.752804,name found,"Cheryl Fenner Brown, C-IAYT, E-RYT 500","Durham, NC",3.1k followers,English,Joined in Sep 2016,"I found yoga in 2001 as a way to ease chronic back pain and was instantly enchanted by the subtle connections between the breath, body, mind, and emotions. Part of my healing journey has included yoga nidra and other forms of guided meditation. My first yoga nidra experience was so powerful that I spent years educating myself about the science behind the technique and writing scripts for specific populations and purposes. My hope is that you make yoga nidra part of your daily self-care practice....read more",https://users.insighttimer.com/j9u3g8n2v5E4t1y1v3z3R2P5P2k3u2K6V4b9n0c2D0Z4c6b2G8q9z1N1N4W2P0S6w6H2q9n0M9Z6X5t7r9G6Q0Q1e0A0N2g2T0w6/pictures/square_medium.jpeg
2204,carolinatraverso,c,23,2022-12-11 07:14:13.813023,name found,Carolina Traverso,Milano Italy,3.0k followers,Italiano,Joined in Sep 2016,"Autrice di ""Mente Calma Cuore Aperto"" (Sperling and Kupfer, 2016), e di ""Semplicemente Single"" (Hoepli, 2021)
Psicologa e psicoterapeuta, si è formata all'insegnamento della mindfulness con il Center for Mindfulness della University of Massachusetts Medical School. 
Conduce corsi di mindfulness online....read more",https://users.insighttimer.com/L8d1t1D8f6b3V2r2Z6Q9R6e0R3m5s5M1V7n0B0S1z1s4x5S4m7p9v8F4e4A5f4k8F5M5k3H4Y3g5A7w4T5N9b4B9P3C0S5c5E0d4/pictures/square_medium.jpeg
2205,clareconnolly,c,23,2022-12-11 07:14:16.495718,name found,Clare Connolly,"London, UK",3.0k followers,English,Joined in Feb 2020,"Clare passionately shares the transformational benefits of yoga and meditation through her teachings at Indaba Yoga Studio in London, AdiaHealth fertility app and now on Insight timer. 

Clare is on a mission to help others through the power of wellness to live a more balanced and healthy life by gaining a deeper understanding of themselves. The true teacher is inside us....read more",https://users.insighttimer.com/q7j8Z1W8h6D6R5X3P3b9h3K6t4e0A7Q0x3C8C9q7a3n2W5f0Q3x9y0z4j5f4p4f9x1a8P0j9G2p3u1T2K7j1c9v7B5h3K3g7W1F1/pictures/square_medium.jpeg
2206,cheryneblom,c,23,2022-12-11 07:14:19.268353,name found,Cheryne Blom,"Melbourne, Australia",2.9k followers,English,Joined in Sep 2016,"I am an international speaker and self empowerment specialist passionate about helping you discover your true self, your essence, so that you can live your life through the power of your purpose.",https://users.insighttimer.com/v4k0Y8s4h2c3B4P4W1s0A1W6C2F9F3u2u2x4z9P9b8G9w6U6E9d6s1L6K4L1v2u1s9J2z0C1A9b7Z6e4F7p1x5x0y6K8E7n7G5N3/pictures/square_medium.jpeg
2207,christinekarall,c,23,2022-12-11 07:14:42.490315,name found,Christine Karall,"Wilhelmshaven, Germany",2.8k followers,Deutsch,Joined in Jan 2019,"Christine Karall ist Meditationslehrerin, Coach und zweifache Mama. Ihre einzigartige Herangehensweise ist stark geprägt von Kate Northrups „Do-Less-Prinzip“ (eine spezielle Art des Zeit- und Energiemanagements für Frauen), ihrer professionellen Schauspielausbildung und ihren eigenen Erfahrungen beruhend auf über 15 Jahren täglicher Meditations- und Achtsamkeitspraxis....read more",https://users.insighttimer.com/H1T8J4G7K3K7x4F4m0Q6k9D0E0d6V1F7e9U8q3J8D0y0G9m8S9p8E8f5c8z0z8m4q8j4s4m0C5a8P5J4j5r7F7g1E5e0R6W5n1N8/pictures/square_medium.jpeg
2208,colleensaidman,c,23,2022-12-11 07:14:45.200196,name found,Colleen Saidman Yee,"Sag Harbor, NY, USA",2.7k followers,English,Joined in Oct 2020,"Colleen Saidman Yee is an internationally respected yoga teacher that has been teaching since 1998 and practicing since 1984. She received the title: “The First Lady of Yoga” by the New York Times and has reached celebrity status in the yoga world. She opened Yoga Shanti Sag Harbor in 1999; and opened Yoga Shanti Tribeca in 2018.  Colleen has been featured in thousands of yoga videos on many different platforms and is a strong voice for women. Colleen is considered a teacher’s teacher. With Donna Karan and Rodney Yee, Colleen created and runs the Urban Zen Integrative Therapy Program, utilized in healthcare facilities around the country. This program has received many prestigious awards. 

She has graced the cover of Yoga Journal 4 times, and has a 12-week online course called Yoga for Inner Peace on the Yoga Journal site. Articles about her have appeared in The New York Times, New York magazine, Vanity Fair, and O, The Oprah Magazine, among many others. Colleen released her first book, Yoga for Life in June, 2015, and her podcast by the same name launched in the summer of 2020....read more",https://users.insighttimer.com/K7iYA9Sa7TYcmRUpsdrl8cRCwP63/pictures/square_medium.jpeg
2209,charlesalres,c,23,2022-12-11 07:14:47.813552,name found,Charles Alberto Resende,"Pindamonhangaba, SP, Brazil",2.7k followers,BR. Português,Joined in Jan 2020,"Psicólogo junguiano, trabalha como psicoterapeuta clínico online e presencial, utilizando ferramentas como arteterapia, análise de sonhos, imaginação ativa e mindfulness. Estudioso da imaginação, dos sonhos e dos símbolos há mais de trinta anos. Praticante assíduo de mindfulness formal e informal, a meditação contribui excepcionalmente tanto para com o cliente quanto para com o terapeuta.
""O que não enfrentamos em nós mesmos, encontramos como destino.""
Carl G. Jung...read more",https://users.insighttimer.com/Z3h7P7B9w4b6q3j0p8k1C8N1y2b8Y1w5s9d7x3c3N5F5V6D1k7Y6y8J8r8d6Z8g9v3L4W2W5q7d3V9s1h3j0X2g0L9B0J1d6d5G4/pictures/square_medium.jpeg
