,teacher_id,alpha_index,batch_id,scrape_date,scrape_status,teacher_name,location,followers,languages,date_joined,about,image_url
9700,matthewjonas,m,98,2022-12-12 04:23:25.976962,name found,Matthew Jonas,"Los Angeles, CA, USA",753 followers,English,Joined in Oct 2016,"Working with organizations, corporations and individuals, we work from the inside out to help clients achieve their highest levels of success.",https://users.insighttimer.com/w0D3u7R3c2J8d9v1J6F4e5M0k1A7P9N1Z2j0f2z2R5e9J1Q2U9d4W5c6r4S9f2X1r8k0w3e5H2x9f6k2W2J3P5q6Z9k9S4T6A3v9/pictures/square_medium.jpeg
9701,mirelleserra,m,98,2022-12-12 04:23:48.801462,name found,Mirelle Serra,"São Paulo, State of São Paulo, Brazil",755 followers,BR. Português,Joined in Oct 2020,"Instrutora de Mindfulness pela UNIFESP - Mente Aberta, life coach pelo IBC, Cursou ""A ciência da felicidade"" da Universidade da Califórnia, Berkeley (EUA), ""Teoria U"" do Massachusets Institute of Technology (MIT) e ""Comunicação não-violenta"" (Base Colaborativa). Além disso, é formada em jornalismo pela PUC-Rio.

www.mirelleserra.com.br...read more",https://users.insighttimer.com/tIGWPi9CsgTrzxJN30nPqSL2ViI3/pictures/square_medium.jpeg
9702,mirnagrzich,m,98,2022-12-12 04:24:07.538802,name found,Mirna Grzich,"S�o Paulo, SP, Brazil",750 followers,BR. Português,Joined in Dec 2016,"Mirna Grzich is a reference name in meditation in Brazil. Journalist, therapist, she created the pioneer radio program Music of the New Age, produced the Imaginary Conferences, edited the ""Meditation"" magazine and was one of the people who helped bring H.H. The XIV Dalai Lama to Brazil. She has sold hundreds of meditation CDs. She practices and studies Tibetan Buddhism for more than 25 years and has an appreciated and recognized work in the country....read more",https://users.insighttimer.com/N9X8u4c9A2S6h4G0E7v3R6g4g4A9E5n6j8e9K0q4j8j4w2M4z2B4b0F4w6W7W1R5R1P5K6Y1m9G6C5S7H1e4n1V8w2e5r4Z3N2L6/pictures/square_medium.jpeg
9703,maggiesingermann,m,98,2022-12-12 04:24:26.488749,name found,Maggie Singermann,"Buenos Aires, Argentina",747 followers,"Español, English and עברית",Joined in Dec 2016,"Es socióloga, coach ontológica y corporal e instructora de mindfulness y de yoga. Fundadora y co-directora de Cultivo Bienestar; un centro dedicado al desarrollo de una vida saludable para personas, empresas y centros de salud.

She is a professional ontological coach specialized in body work, a mindfulness and yoga teacher and a sociologist. Founder and co-director of Cultivo Bienestar, a wellness centre dedicated to the development of a healthy life....read more",https://users.insighttimer.com/U5T3r0f8h3H0R9c4g4B8s8x9X3a2K3g3H9w4w4V4k4Y8N0b1T5Q5X1Q9F6R6r1B0J7D9w9g0y4B9T2J3t5P0n9N0h8p4y7G3g2G5/pictures/square_medium.jpeg
9704,shenjing,m,98,2022-12-12 04:24:45.211180,name found,Mark ShenYun Gilenson,"Tel Aviv-Yafo, Israel",740 followers,English,Joined in Nov 2018,"Mark is a Novice Chan Priest who has been practicing Buddhadharma since about 2008. Starting out in a Theravada context, learning from outstandingly inspiring teachers, then he practiced Vietnamese Zen and Vajrayana (Kagyu), and now studies, practices and shares Chan Buddhism (Linji Lineage of HsuYun). His highest aspiration and greatest inspiration is the actual pursuit of happiness - that means his own happiness together with that of all others. Mark runs the Bodhi&Bass Hermitage. ...read more",https://users.insighttimer.com/Z6f2t5J4a8G7a2w9h8K3j4H1k3w6n5P1v0K4R2k0q0P3M3G9m5K1F3Q5q9x7m6E1r1k9D5d9n3N0n9k7Q0a2v0e7G0t5q5e6q2P3/pictures/square_medium.jpeg
9705,marionmiller,m,98,2022-12-12 04:25:10.025233,name not found,,,,,,,
9706,qinspiredlife,m,98,2022-12-12 04:25:28.684244,name found,Maja Savic,"Paris, France",731 followers,English,Joined in Aug 2018,"Maja Savic is a Holistic Coach & Healer, Meditation teacher, Spiritual mentor and Mindfulness-based stress reduction practitioner based in Paris, France. She empowers people to follow their heart and live in alignment with their purpose, helps them feel confident and calm amidst the chaos, supports them on their spiritual journey. She teaches regular classes in Paris and has clients all over the world....read more",https://users.insighttimer.com/a8S8T1J1D0t0k4G0j7v6S0q2H1L1A2m2e8r4T8w7N9G8N6R1r7y2q8J2p2C6f8q1N6b9z1M7e0z4J8R6k1S1D6U1t6t6T8e2T6k8/pictures/square_medium.jpeg
9707,milavasilyeva,m,98,2022-12-12 04:25:31.375264,name found,Mila Vasilyeva,"San Francisco, CA",730 followers,English and Русский,Joined in Jul 2019,"I am a licensed massage therapist in San Francisco. In my meditations I combine my two passions of the last ten years, energy healing and bodywork, to create a safe environment. 
My audios are mainly for people with anxiety/panic disorders/depression, because I too have suffered from acute panic attacks that lead to severe depression (back in 2016). 
Meditations helped me change my brain chemistry to healthier state and stop panic attacks, for which I am forever greatful. #mila._.vasilyeva...read more",https://users.insighttimer.com/a9Y3c8m4X5u8w2x4S0v5C5s7v6M7M4D2e1v9B6P4J1e3v6c1K6z6c5Q0R0F4n1Y2N2v3Q5f2u2W9N4b5j5f8U1v9W3m1N5d8m8b1/pictures/square_medium.jpeg
9708,mymentalenergypro,m,98,2022-12-12 04:25:34.037847,name found,My Mental Energy Pro,"Rhône, France",729 followers,Français and Deutsch,Joined in Sep 2020,"Editeur en bien-être mental, concentration et sérénité au travail, créé par JC. Beau, expert Qualité de Vie au Travail, et G. Allain, Dr en Psychologie Cognitive, expert concentration et charge mentale. Prévenez le stress et la surchauffe mentale, gagnez en concentration, confort cognitif, et récupérez plus facilement. L’équipe intervient en entreprise, pour des mutuelles, des cabinets conseils…
Content and training sessions on mental well-being and cognitive efficacy at work....read more",https://users.insighttimer.com/2QWL6EcLfIPUrwMyNDlyHVgBSl63/pictures/square_medium.jpeg
9709,manal,m,98,2022-12-12 04:25:58.839984,name found,Manal - Mattain,,725 followers,English,Joined in Nov 2021,"Manal is passionate about growth, expansion, and innovation. She has served in many key executive, entrepreneurial, and board roles in corporations and independent schools. She is a Holy Fire, Karuna Reiki Master. These experiences make Manal uniquely positioned to support and guide high aspiring executives, entrepreneurs, students, and families to achieve their highest potential. Connecting with her personal truth and celebrating as others make their connection is Manal’s calling....read more",https://users.insighttimer.com/s6zJHCSgdWUtrrgDrZGQOc53LQd2/pictures/square_medium.jpeg
