,teacher_id,alpha_index,batch_id,scrape_date,scrape_status,teacher_name,location,followers,languages,date_joined,about,image_url
10200,meredithhooke,m,103,2022-12-11 13:17:11.854393,name found,Meredith Hooke,,132 followers,English,Joined in May 2022,"Meredith lives a quiet, contemplative life in a small fishing village in Southern Baja, Mexico. She began meditating at The Chopra Center in California in the late 90s and, in 2013, left her job, home, and partner to fully commit her life to her spiritual practice. She has developed a unique style of teaching combining the foundations of wisdom from Tibetan and Theravada Buddhism with the Direct Path teachings of being pure awareness....read more",https://users.insighttimer.com/thzsFNlqCoSt6Jg7HeymcRCMdzI2/pictures/square_medium.jpeg
10201,michelleeggink,m,103,2022-12-11 13:17:36.606368,name found,Michelle Eggink,,133 followers,English,Joined in Aug 2021,"Michelle Eggink is a Certified Meditation & Mindfulness Teacher, Certified Ceremonial Breathwork Facilitator, and a Certified Nutritional Therapy Practitioner who specializes in mindfulness meditation and breathwork education. Her sessions are designed to hold nurturing space for those looking to break down mental barriers and integrate a practice of presence for happier, healthier living....read more",https://users.insighttimer.com/nKHM7p7wKoZSWrTfTAAdRDhZjXj1/pictures/square_medium.jpeg
10202,marcinwierzbickiz,m,103,2022-12-11 13:17:55.488655,name found,Marcin Zefir Wierzbicki,"Warsaw, Poland",131 followers,Polski,Joined in Jul 2017,"Nazywam się Marcin Wierzbicki, Imię ZEFIR jest mi przypisane przez siły wyższe, zdobyłem je na drodze rozwoju, a pokazało mi się podczas medytacji.

Marcin is a TV Star, spiritual leader and teacher in Poland and in Europe. ...read more",https://users.insighttimer.com/N9g3A1k6x3d6d0y4a0D6J0V2P3x7L7w9A4u2A2v9Q5J2K6F7g2F3y5N1d3G5G6S8h6U8F7p1Y4C4W5a4Y6z1W9b7S7D7J3C3e2n4/pictures/square_medium.jpeg
10203,maralthesage,m,103,2022-12-11 13:18:15.652389,name found,Maral Sheikhzadeh,"Osnabrück, Germany",131 followers,English and Fārsi,Joined in Feb 2020,"Maral believes that the subconscious plays a big role in our success, health, and happiness. she is enthusiastic about tapping into the subconscious and change the programming into a better overall life.",https://users.insighttimer.com/y1Q8X6q6S1e1Q9b3P1y7m3j2u6X4A0t6G3H1D9B7Q0m6Y0T4A9M4G6V3T4v8f1F9v6m0m9B4f8k1V5f8M6u6b2J1F5b9U4y8U4d6/pictures/square_medium.jpeg
10204,mathildevandemoortele,m,103,2022-12-11 13:18:38.519056,name found,Mathilde Vandemoortele,"Ghent, Belgium",131 followers,Nederlands,Joined in Mar 2020,"Mathilde is klinisch psychologe en mindfulnesstrainer, gespecialiseerd in het helen van ontwikkelingstrauma via o.a. mindfulness en compassie. Ze gelooft dat leven in het hier en nu een ongelooflijk potentieel kan wakker maken in mensen: om jezelf te zijn en expressie te geven aan wie je bent en om vervullende relaties te hebben. ...read more",https://users.insighttimer.com/B9W1d9N1J6X2f3a1j0J5u2U4b9t4s5a4W3f3p8j7J8H7x5S0E9E6H2K8z2P1q4w1a3x2S4A0W6p3x6N9W3J1E1R6a6b4H9R6F1V0/pictures/square_medium.jpeg
10205,melissavanzon,m,103,2022-12-11 13:19:21.464345,name found,Melissa van Zon Cunningham,"Apeldoorn, Netherlands",131 followers,Nederlands,Joined in Jan 2022,"Om deze wereld een mooiere plek te maken deelt Melissa graag haar liefde en kennis over yoga, adem, meditatie en ontspanning met jou. Op dat jij op jouw beurt de wereld ook weer een stukje mooier maakt, want een mooiere wereld maken we samen. Melissa is een gediplomeerd yogadocent, ademcoach en jongerencoach en staat bekend om haar rust, aandacht en liefdevolle vriendelijkheid....read more",https://users.insighttimer.com/f1K6H6X0E0u5R4m5a9K8J7e7c9y7b8a1M6r9w5M7m3u3B5P6b3f1U6k1U6Y2d7S7x7P6b5t6S0T3J8W8G7W5a9c0p1M6R0f5Z2P1/pictures/square_medium.jpeg
10206,mayoga,m,103,2022-12-11 13:19:40.259270,name found,Maylin Mayoga,"Darmstadt, Germany",131 followers,Deutsch,Joined in Mar 2021,Durch das Yoga Nidra und die geführten Meditationen erlangst du ein Gefühl von Selbstliebe. Lass dich von Maylin auf deiner inneren Reise zur dir selbst begleiten.,https://users.insighttimer.com/bAsggB6i6naVSI5DrNVOJjiWK2m2/pictures/square_medium.jpeg
10207,maryaranas,m,103,2022-12-11 13:19:58.949727,name found,Mary Aranas,"New York, NY, USA",130 followers,English,Joined in Jan 2021,"Mary is a yogini over 25 years, and a full-time yoga teacher since 2002. Her passions include learning, movement, laughter, and growth. She loves to cycle around New York City, wine and dine, practice AcroYoga, travel, read, and spend time with friends and larger family and her hubby and son. Her yoga specialities include Restorative, Yin, Flow, Meditation, Nidra, AcroYoga, and Chakra themes. Mary is a Soul Sherpa coach with LOA, NVC, and The Work. She is a Reiki Master, Thai Yoga bodywork teacher and giver, Restorative and Nidra teacher trainer, and Interfaith Minister....read more",https://users.insighttimer.com/s3P1S5h5y7d4C0M2W2Y2N9U9q8X9v4x3t6K4s6R9U1T7A8E9V6s2g5H9v6A1T5T1E8v4x9G4s3h7P2b7U9N6J6Z6C1s0j1g4G1g9/pictures/square_medium.jpeg
10208,michelemarchese,m,103,2022-12-11 13:20:22.039726,name found,Michele Marchese,"Golden Valley, AZ, USA",130 followers,English,Joined in Dec 2017,"
Michele Marchese is a Mind & Body Wellness Practitioner, offering several different holistic therapies, including: Hypnotherapy, Intuitive Spiritual Coaching, Holistic remedies, including herbal and flower essences, and supplements. A graduate of South West Institute of Healing Arts. ...read more",https://users.insighttimer.com/W3A9L3P0v8t0W6e3Q7S1Y9h2Q6L7w1L0R0L3v8T5X4c3h4j6Z6d3N7x0D6M6y2v7Y0T6f0m2a0j3u1T0A2d0B0T0A9t0v0k9L7a1/pictures/square_medium.jpeg
10209,mbsronline,m,103,2022-12-11 13:20:24.666298,name found,MBSR online,"Санкт-Петербург, Russia",129 followers,Русский,Joined in Jul 2021,"Программа снижения стресса Mindfulness Based Stress Reduction (MBSR) развивает осознанность и позволяет привести себя и свою жизнь в порядок, в том числе:  снизить тревожность и стресс в повседневных жизненных ситуациях, повысить уверенность в себе, наладить отношения с другими людьми, улучшить настроение и получать удовольствие от жизни....read more",https://users.insighttimer.com/FpWOyqjQZAahjHL8s2VmNCXfsv42/pictures/square_medium.jpeg
10210,iamhasu,m,103,2022-12-11 13:20:43.547086,name found,Marney Hasu Coulter,"Roberts Creek, Canada",129 followers,English,Joined in Oct 2020,"Hasu is an intuitive and knowledgeable Yogi. Since 1995, she offers a flowing practice, creating self alignment and attunement, based on teachings from her own life experience, Kripalu Yoga, I AM Yoga, and Phoenix Rising Yoga Therapy. Initiated into the Kripalu Lineage by Gurudev Shri Amritji. Hasu is Senior Faculty and Director for the 800 Yoga Therapy Program for the Amrit Yoga Institute. She has trained and mentored 200+ of teachers.  500-ERYT, C-IAYT, Director and Owner of Yoga by the Sea....read more",https://users.insighttimer.com/60D8q78nL3OZE38HL5rUZJ4c3Mo2/pictures/square_medium.jpeg
10211,margaritapareja,m,103,2022-12-11 13:21:03.168459,name found,Margarita Pareja-Stoyell,Ecuador,128 followers,English and Español,Joined in Aug 2021,"Danza Primal, Primordial Meditation & Yoga Instructor: Activation of chakras
Advanced Life Coach - Integral Approach: (Mind, Body, Emotion, Spirit and Energy)
M.A. in Transpersonal Psychology and M.A. in Peace and Conflict Resolution
Creator of Art, Poetry & Beauty
Lover of Life, Love & Laughter...read more",https://users.insighttimer.com/U6W9z9A6v7v8U3s9K6P2A9P4x3v3h3x8s5D6a1U9s4s7X5t5a2U9v6Z7H9z2v2t0D2S0N2G8Q3q8E4L2f0h3p8s9m2K7W4u5Q1L3/pictures/square_medium.jpeg
