,teacher_id,alpha_index,batch_id,scrape_date,scrape_status,teacher_name,location,followers,languages,date_joined,about,image_url
15700,yeradmi,y,158,2022-12-12 10:58:59.802265,name found,Yeradmi G.,"Boston, MA, USA",730 followers,English,Joined in Sep 2016,"I am a yoga and meditation teacher as well as a reiki practitioner. My path to falling in love with holistic wellness and spirituality began when I studied abroad in Thailand my junior year of college. I soon after began to explore the world of yoga and meditation. The power of the two practices became a vehicle for healing in my life by cultivating awareness around what needed the most attention on any given day. My teachers past and present have taught me the importance of creating a sacred space for connection.

Teaching slower practices such as yin and restorative yoga has become Yeradmi’s signature style as she is very passionate about guiding her students to feel calm and rejuvenated through stillness. Yeradmi hosts and leads annual wellness retreats in Santiago, Dominican Republic where she manages a vacation home year-round. Her greatest desire is to offer a shift in perspective, sense of ease and support in your journey.
...read more",https://users.insighttimer.com/j8N0j3U3D3S2x2X4P4G8Y7U3t9v8A0u2E5N1r1N1w0X0d1k6P2w4h3c4X1D9e7t6s2M1b5T8k0t0X9c6C1a5G3U0B2f7B6d3Y8A3/pictures/square_medium.jpeg
15701,yasduarte.md,y,158,2022-12-12 10:59:05.026038,name found,Yasmin Duarte,"Goiânia, State of Goiás, Brazil",667 followers,BR. Português,Joined in Aug 2021,"Encontrando cura e transformação com a meditação. Buscando distribuir conhecimento, relaxamento e auxiliar no despertar espiritual de outros seres. O despertar espiritual é iniciado individualmente, mas o caminho é percorrido em conjunto....read more",https://users.insighttimer.com/M27fgxhDT0W9Qv69MLwzFPFbHAY2/pictures/square_medium.jpeg
15702,orchestrator-of-rest,y,158,2022-12-12 10:59:11.018084,name found,Yoga Nidra Shakti,"Los Angeles, CA, USA",662 followers,English,Joined in Apr 2020,"Alyssa Mattocks (She/her) is a certified yoga and meditation guide. She has been practicing yoga since 2007 and facilitating experiences since 2017. She uses a combination of techniques to guide individuals to an expanded state of consciousness. She cultivates safe spaces for all bodies, ages, identities. Alyssa is gifted in helping others explore the intricate inner landscape of the mind and harmonize our humanness and magic. She hosts national and international retreats yearly. Join the journey!...read more",https://users.insighttimer.com/J3q2x5s4G1S4Z8A4r6D0Q0Y1H3V2w6U0b6e5d5J0P7m0M5T2a2u8D9J5q9S7a8S7F1Y8R2y3K1v0T4q9z8m3e5j2A3D2K5V5J0a7/pictures/square_medium.jpeg
15703,yakoguerra,y,158,2022-12-12 10:59:16.006518,name found,Yako Guerra,"Teresina, Brazil",588 followers,BR. Português,Joined in May 2020,"Sou um praticante e instrutor de Yoga e Meditação com o propósito de ajudar na transformação coletiva e no despertar para uma vida mais lúcida, amorosa e consciente.",https://users.insighttimer.com/W9Z1w3K4W4P1j9y1D3q2m2q3D2u0q3m6S0X2E2u7m5w2T0u2Z5t1F9b7s6L0R9w2t8V1F3g9J7y9W4m9b6x6u2C1V3K5X8s7Y0J0/pictures/square_medium.jpeg
15704,yongkooi,y,158,2022-12-12 10:59:48.933382,name found,Yong Kooi Kuo,,560 followers,"English, Malay, Indonesian and 廣東話",Joined in Oct 2021,"Yong Kooi Kuo has been teaching yoga & qigong for over 20 years in gyms, community groups, drug rehabilitation centers, prisons, and Aboriginal Elders, bringing a unique attitude to his classes inspired by meditation and mindfulness. After living as a Buddhist monk in Burma and Thailand for two years 97-98, Yong started the Grasshopper yoga studio in Victoria, Australia. Now based in Long Forest, running weekend Yoga and Qi Gong retreats....read more",https://users.insighttimer.com/1uQT3hAMloO7H3uzxpuPmvqEO4x2/pictures/square_medium.jpeg
15705,yogapeggy,y,158,2022-12-12 10:59:54.441821,name found,Yoga Peggy,"Kinghorn, United Kingdom",506 followers,English,Joined in Apr 2020,"Meditator, Yoga Nidra Guide, Hatha & Restorative Yoga Teacher, Reiki Master",https://users.insighttimer.com/h7W4r6w6S5x5H6y9k4v3Y8a9A6y3H5t5E8g8R9T9c0J1e5F5B0f3B7B1n4v1u7e5s1H7x3T6d6f6Y4w6p4P5W9a1C0C5B8k6e6H8/pictures/square_medium.jpeg
15706,zen1965,y,158,2022-12-12 11:00:03.603565,name found,Ya'akov Litman ,,492 followers,English,Joined in Aug 2017,"A native Floridian, Ya'akov Litman has had many varied jobs in his life. Former medic, firefighter, law enforcement officer, private investigator, bail bondsman, Medical Examiner's Office, Independent Catholic priest, Humanistic Jewish rabbi and lastly Humanistic Celebrant, Certified Meditation teacher, Life Coach,and Nonduality Facilitator. Now he adds author to his resume as well as disability advocate and activist. His published works are This is it or Spiritual Pointers for Life, to Life, from Life and What is Enlightenment both available on Amazon Kindle. Ya'akov was diagnosed with Fibromyalgia in 1994.

His current interests include nonduality, spirituality,disabilities and alternative relationships so you should see more writings in those genres.

The only book I recommend(other than mine lol) on Enlightenment by Paul Smit whom ""I"" consider ""my teacher"".
www.a-dvaita.nl/ebook/PaulSmit_Enlightenment.pdf

""Happiness begins, when our stories end.""...read more",https://users.insighttimer.com/N4e6t3k5K0B5F8a0A7b1y9F6D0F2g9z7s2S4a9P0T2Q3y6Q5E0N1t6S8R3J3m2z8x8r4a7B8X6n3H9b0M9c7S6H9q2e4F4e8u3J5/pictures/square_medium.jpeg
15707,yvettelee,y,158,2022-12-12 11:00:08.155819,name found,Yvette C Lee,"Winston, GA, USA",489 followers,English,Joined in Nov 2020,"Yvette C. Lee is a musician that loves to play to soothe the mind and soul. Yvette is a Christian and a life learner of being herself and at peace with being who she is and accepting love, life, and spirit. A long, life lover of music, listening and tickling the ivory keys,(piano) to soothe the mind, body, and soul. Yvette's friends describe her as a calming voice as she allows her mind to flow. Come, and enjoy Yvette's Muscial Coloring Book of sounds!  Continued Blessings to all!
Vette...read more",https://users.insighttimer.com/skirRNkHBWNoMIIMVFw0tsNTRWY2/pictures/square_medium.jpeg
15708,alessia,y,158,2022-12-12 11:00:34.441979,name found,Yoga e Meditazione con Alessia,"Barcelona, Spain",431 followers,"Italiano, Español, English and Català",Joined in Jun 2020,"Maestra e praticante di yoga e meditatrice da 12 anni. Nelle sue classi e meditazioni condivide la sua esperienza proponendo momenti dinamici, momenti di riflessione e gli strumenti che potranno aiutarti nel tuo cammino verso il benessere fisico e mentale.
Le classi e meditazioni proposte sono adatte a principianti, così come agli alunni più esperti, e sono rivolte sia per adulti che per bambini....read more",https://users.insighttimer.com/d6M6e0P1K9N6e0G9L1f9V4u5k6C8Z6b6j8Z8L5a3a8U5L3N9G7w1w9X9N7E1d6M5E3x1n6S3q8m3e0z1q1K0V0r2v1V1H0d7M5w1/pictures/square_medium.jpeg
15709,avdelena,y,158,2022-12-12 11:00:38.673719,name found,Yelena Avdeyeva,"Petropavl, Kazakhstan",420 followers,Русский,Joined in Apr 2020,"Я - женщина, я - мама, и для меня главное радость и счастье в семье. Поэтому я занимаюсь личностным и духовным ростом. Пишу  Медитации и духовные практики для ДЕТЕЙ и ВЗРОСЛЫХ, которые несомненно поднимут Вам настроение. А хорошее настроение это высокий энергетический уровень, залог успеха и гармоничной счастливой жизни....read more",https://users.insighttimer.com/K6F0C7d6w7h8T2D6G5Q3s6X0S8B6Y1g6d9C5U3U8c2E7x6x0N6G2e4d0z5J8m6p1F6u8R7e9a4h2m2x4G7t0d0U6d9N6R5x2C3k2/pictures/square_medium.jpeg
