,teacher_id,alpha_index,batch_id,scrape_date,scrape_status,teacher_name,location,followers,languages,date_joined,about,image_url
1000,meyora,a,11,2022-12-11 03:52:42.559192,name found,Ashley Meyora,"CA, USA",38 followers,English,Joined in Mar 2021,"Meyora is a writer and creative director for Origins Curriculum, as well as an educator and professional painter. She creates meditations, records video books, and develops additional resources and content. 

With OC, we combine mindfulness and eco-literacy with academic practices that creates a well-rounded curriculum for children ages 3-6th grade...and we'll be expanding. Our curriculum nurture children’s innate sense of caring for, and about, nature and all its inhabitants, while supporting and modeling choices and decisions that are grounded in both an Earth and human-centered ethic that celebrates diversity and does not exploit or exclude....read more",https://users.insighttimer.com/V0x6L9N9q6W8s1J2t2T9X8X9C7y0j9b0u8J2U0p2B0z7p0t0S3h9w6t3s1n5z7a8W0z0p3r3j2L3X1J7Y6J8Y3K0M3Y2c2K9j8D4/pictures/square_medium.jpeg
1001,amysatterfield,a,11,2022-12-11 03:53:07.226671,name found,Amy Satterfield,,38 followers,English,Joined in Feb 2020,"Amy is a yoga teacher and therapist and the owner of Explore Yoga Studio. She is an anatomy-inspired teacher with diverse yoga and fitness background. With experience working with hundreds of veterans, children, special needs adults, athletes, and people with various injuries, she has come to know and teach yoga in a very unique way. Her training in multiple styles of yoga, certification as a fitness and exercise trainer, and a certified yoga therapist lend information-pack classes about muscles, movement, and overall physical well-being. 

Amy has specialized training in anatomy, sports performance and recovery, women's health, the nervous system, myofascial release, and spine and posture health....read more",https://users.insighttimer.com/f1Z8a5m2r5P3p6u1L5d6R3W5Q8F6x0m8c5m3a7K8D8f2Y6m7C7p6W0v3R4k8n1j6a1e0h5M6B0s0U3F1d3N0k8e5J1j5M2t8j9H9/pictures/square_medium.jpeg
1002,pacedbreathing,a,11,2022-12-11 03:53:09.966064,name found,Alex Wildgoose,"Coventry, UK",38 followers,,Joined in Jun 2020,"Paced breathing and its practical applications range from improving athletic performance, productivity, HRV, stress, anxiety and depression.
Richard Gevirtz, Ph.D. Pioneering study on HRV and biofeedback showed that in just 10 minutes a day at a breathing frequency between 4 to 7 BPM was enough to achieve huge improvements across a range of biometrics.

My aim is to build a library of paced breathing tracks varying in length breathing cadence and background noise.

Custom tracks on request....read more",https://users.insighttimer.com/G3v7m1Z6j4j8m3X6N0p2A7T7G5Z9L1p1s3q5m3H8T2Y2R8r8h2W7t9Z4K8f3E5v3e8c7W2x1c2k0G6V1A6G9N5D0g5R7t7M1R5C8/pictures/square_medium.jpeg
1003,upgretable,a,11,2022-12-11 03:53:12.608333,name found,Anna Glambotskaya,"Amsterdam, Netherlands",37 followers,English,Joined in May 2020,"I am a transformation and intimacy coach and the founder of Upgreatable.

The mission of my company, Upgreatable, is to guide you on your own journey toward life that is closer to your heart’s desires and help you experience your own breakthroughs, so that you can live purposefully and love fiercely.

...read more",https://users.insighttimer.com/J3B9g4K3C2j1q5k2r8L8y2E3X6j4L2P7G0y9y7Y3C4p0Z2j9T5s1W3n6j8D1W1a1u3Y7Y2p2c3r6E7Z9h2t3E4A8b5T5M1n5B4G7/pictures/square_medium.jpeg
1004,argos,a,11,2022-12-11 03:53:15.270932,name found,Argos Gonzalez,"Pelham, NY",37 followers,English,Joined in Jul 2019,"Argos Gonzalez teaches mindfulness & yoga to children & offers training to adults. He is co-founder of Embodied Wisdom, director of Professional Development for School Yoga Project, & Lead Teacher at Mindful Schools. He also teachers at Hunter College. 

He offers meditations & prayers drawing from West-African & shamanic spiritual traditions & his understanding of mindfulness, somatic healing, & Buddhist & Vedantic traditions.


...read more",https://users.insighttimer.com/p0Y3c1N8a4p4r0T8u5z8E2R4m3g7Y7W6X3U2E6v0V4D0s7g8B3P8N7M2y3v4e5Z1P9e9G9d5N9B1L1t5g2u0V8A2X5L7M0v3E1e2/pictures/square_medium.jpeg
1005,beyondomwithapril,a,11,2022-12-11 03:53:17.706718,name found,April Puciata,"Asbury Park, NJ, USA",37 followers,English,Joined in Mar 2021,"April teaches tantric meditation techniques that include pranayama, kriya, mantra, visualization so you can quiet the chatter, tap into your inner wisdom and intuition, and connect to your divine nature. A teacher and mentor for nearly 20 years she will help you move beyond mindfulness and guide you through practices to live an inspired life. ...read more",https://users.insighttimer.com/GYxgwUmNQKS8yxWl5eGNyqNeAC22/pictures/square_medium.jpeg
1006,aliciadrake,a,11,2022-12-11 03:53:44.961667,name found,Alicia Drake,Santa Monica ca,37 followers,English,Joined in Jan 2022,"Alicia Drake is the owner & brains behind Starling Malibu. A graduate of the École des Beaux-Arts Paris , Alicia studied art & design at the Ecole du Louvre. As a passionate & driven member of the health community, she supports a variety of causes that better the lives of others. She has spent the last 5 years deeply immersed within the work of neuroscience, the mind-body connection,  meditation, yoga, and spiritual exploration....read more",https://users.insighttimer.com/F4f1w2d6b5N9X9T1x2f2z0G6u9z6a6f7W4S2Y6C6p0Y0d3M7C5Q3T5K9r2z1g8T4X5S6A3j1R0R8V6w7p1C3B5X7y0L4n3R2f0A3/pictures/square_medium.jpeg
1007,ayurnaada,a,11,2022-12-11 03:53:47.639883,name found,Andréanne Laframboise,"Montreal, QC, Canada",37 followers,,Joined in Nov 2019,"Naada Yoga teacher, traveler, curious, lover of life... Andréanne Laframboise or Kushi shares joy through music and yoga of sound - a bridge between the western and eastern music. Both trained in opera and Indian classical music, she explores the essence of improvisation, touching the absolute...accepting what is. Soul as pure sound, pure energy. ...read more",https://users.insighttimer.com/y8Q6p3r6G6e9p4Y6g5f1T7X5c0j9Z0f9R4c3t3a5r4L1V3m8f2P2u9j3t7w4J5Z8W0S9X7X8b7m3r0G9t5Q1J9p9Y4D7B4w6r0h0/pictures/square_medium.jpeg
1008,aeronlazar,a,11,2022-12-11 03:53:50.241443,name found,Aeron Lazar,,37 followers,English,Joined in Jan 2022,"Aeron Lazar is a Lightworker and Spiritual Teacher equipped with a wide variety of tools to help others on the path of spiritual ascension and be protected, encouraged, enlightened, and healed as they travel the road ahead. 

With the help of his divinely bestowed psychic abilities, Aeron Lazar has been placed here on Earth to help others break free of karmic cycles and energetic obstacles.

By exploring the Quantum field, channelling many races of Galactic Light Beings, and digging into the Akashic Records to find soul histories, Aeron has inspired his students to reach higher planes of awareness and develop a Galactic perspective on their lives.

Having conducted hundreds of individual Akashic clearance sessions, Aeron Lazar understands that in our human experience we accumulate  blocks in our energy fields. Aeron addresses these blocks in his activations and helps you to let go of them so you can ascend to a higher realms of consciousness as you release your 3D shackles....read more",https://users.insighttimer.com/BOf9x9hoqqWevtipj6sh4XYo9732/pictures/square_medium.jpeg
1009,ashkilback,a,11,2022-12-11 03:53:52.848975,name found,Ash Kilback,"Regina, SK, Canada",37 followers,English,Joined in May 2022,"Ash Kilback is an old soul led by childlike curiosity. She is a storyteller, writer, poet, and spiritual teacher. She is also the creator of The Art of Paying Attention, a creative and spiritual practice on cultivating a life rooted in presence.  Through this practice, she is walking a journey of helping people return to the spirit of aliveness that lives in all of us through poetry, teachings, meditations, and nature walks....read more",https://users.insighttimer.com/h1c6Q0q6J1Z8U1P9M2n5L5Y9M9K9e3W6e9e1Y1y7t0w5n3G7P5A6r9g2e8x6U3m9K8Q9c8s7T8f8g1Y9j7f0u4R2X6h1g4F3v6Q4/pictures/square_medium.jpeg
