,teacher_id,alpha_index,batch_id,scrape_date,scrape_status,teacher_name,location,followers,languages,date_joined,about,image_url
7500,kenwells,k,76,2022-12-11 17:22:02.546355,name found,Ken Wells,"Florida, USA",2.4k followers,English,Joined in Sep 2016,"Ken Wells is an internationally sought after speaker, teacher and coach.  He is the author of 25+ courses and coaching programs on topics such as meditation, personal transformation, online course creation & marketing mindfulness and spirituality. 70k+ students in 182 countries are currently enrolled in his programs....read more",https://users.insighttimer.com/a1E1q9U4b6t3a0W1Y0e0F2e6B0k5k0A0L4u7E1e3d2n3A9B4z9H3s2M0g5j1F9S3N6P1g3F3D8k3N8C3K9Q5c7a8e6N5L4u9A7b5/pictures/square_medium.jpeg
7501,meditationbabe,k,76,2022-12-11 17:22:10.165073,name found,Katharine A. Chestnut,"Atlanta, GA, USA",2.4k followers,English and Italiano,Joined in Mar 2019,"Connect to your inner wisdom through authentic, mindful journaling. 
Discover your own Inner Affirmations! 
From the fast-paced world of marketing and small business, to self-care routines and wellness practices, Katharine has created a lifestyle that’s truly hers. She is committed to help others discover their own inner wisdom. She encourages everyone's Inner Affirmations to connect to a powerful source of loving, affirmative energy that’s inside of each of us....read more",https://users.insighttimer.com/Y1U3K1Z8y3h3s2F6F9S1W3t0U1h5X7q9t0F9s4m7Y5G9W6d2x1X0V2z0M3S0v1g3K8f5F0k6J4p5x8E9C0D1P1k6a7x8K5x0c6U6/pictures/square_medium.jpeg
7502,katykuhlman,k,76,2022-12-11 17:22:19.359204,name found,Katy Kuhlman,"Cleveland, OH, USA",2.4k followers,English,Joined in May 2019,"Licensed Massage Therapist, Meditation Teacher, Ecstatic Dance Facilitator.  Katy Kuhlman holds space for meditation with compassion; encouraging listeners to practice self love in new ways.  A strong believer in the body mind connection, Katy focuses on empowerment, radical acceptance and manifestation....read more",https://users.insighttimer.com/p9G7d0m1j7j6m8U9T1B4u6L3r7P1E4v4S5T1M5A1W1u2Z2q4X6w2T4Z2J8x3E9C0R5N4d4t0w6F7S0P1m3Q2P0F3T1P7s7p8E3r2/pictures/square_medium.jpeg
7503,arethusaarose,k,76,2022-12-11 17:22:29.805692,name found,Kristen Gandy,"Santa Fe, NM, USA",2.2k followers,English,Joined in Mar 2021,"With degrees in integrated studies & psychology, Kristen's teachings are informed by neuroscience, stoicism, epigenetics, biological & positive psychology, ancient & transcendent mysticism, archetypal/myth examination, and the medicine of sound. She is an ordained minister for sacred ceremony with the Blue Iris Sound Temple, has accredited certifications in meditation, sound healing, health, wellness, & public safety, and is the creator of the Sacred Creation Oracle and Tarot decks....read more",https://users.insighttimer.com/Gw0IKQNIrNam9JcGnpQk95vU3Z32/pictures/square_medium.jpeg
7504,letlovein,k,76,2022-12-11 17:22:39.197041,name found,Karolina Blaszkiewicz,,2.2k followers,English,Joined in Oct 2020,"Quantum Healing, Energy Healer, Feminine & Love Mentor, Spiritual Teacher.She helps women all of the world to heal traumas, heal the body and illnesses. Clear limiting beliefs, unconscious vows, contracts & blockages on multidimensional level.  She helps to clear ancestors programs and beliefs that hold people back. She provides Healing, Clearing & Alignment sessions for everyone who is ready to transform life and health. She has been travelling around the Asia and Europe last few years....read more",https://users.insighttimer.com/RPe9FodhxYVaZamP7FtoEoh7Cks1/pictures/square_medium.jpeg
7505,kiarathevoice,k,76,2022-12-11 17:22:48.725830,name found,Kiara The Voice ,"Los Angeles, CA, USA",2.2k followers,English,Joined in Dec 2020,"Kiara The Voice; The Vibe Enhancer captivates each space she enters with love and light. Becoming a pure vessel for divine energy to flow through Kiara allows herself to be the portal of unconditional love from the divine. Focusing on releasing all tension in the mind, body, and spirit, Kiara The Voice guides participants to a space of complete surrender and acceptance as they focus on their breath and feel the support of The Voice reminding them it's okay to let go. Kiara The Voice daily mantra and affirmation to herself and all around is ""I am everything I need,"" a simple reminder that our powers start within.   ...read more",https://users.insighttimer.com/vr3hHHAfMYfQ0q3PZOKqIJE8dn22/pictures/square_medium.jpeg
7506,healingbreathalchemy,k,76,2022-12-11 17:23:13.284245,name found,Kirsty Lyon,"Edinburgh, UK",2.1k followers,English,Joined in Sep 2021,"Kirsty is a Trauma-Informed Breathwork Facilitator and Holistic Life Coach. Her work involves mind body practices to facilitate a greater sense of harmony and wholeness. After healing from debilitating illness through the power of holistic modalities and breathwork, Kirsty stepped into her calling to guide others on their own path to healing....read more",https://users.insighttimer.com/Y7E7W9Y8b4M2B6Y6Q8s6C5p1U5E4U8z3B3n7m6a5g9F4R3L1j4P9y0R2Q0E2L3a2v4t9w9B2D2H6H1y9u0M0J3W6u2L5b3R9H7T4/pictures/square_medium.jpeg
7507,kambiznaficy,k,76,2022-12-11 17:23:22.651105,name found,Kambiz Naficy,"Miami, FL",2.0k followers,English,Joined in Sep 2016,"International Kriya Yoga meditation master for twenty seven years, teaching on three continents; has more than ten thousand active followers.",https://users.insighttimer.com/z3z1x0x9M8y2R0J8Z9G3T2e3p3Z2D4U6b6U6q5J8Z1n9e1e8L6X9x2Q7x6q3h7G6M8H3w5S8C5a8N6j8u0J3f1m5k8b5E1U4J7f8/pictures/square_medium.jpeg
7508,kensholife,k,76,2022-12-11 17:23:32.225283,name found,Kensho Life,"Talavera de la Reina, Spain",2.0k followers,Español,Joined in Sep 2020,"Kensho Life somos Vero y Enrique. Durante muchos años vivimos con altos niveles de insatisfacción, estrés y ansiedad que nos llevaron a buscar alternativas. Poco a poco, fuimos descubriendo las técnicas, estrategias y conocimientos que nos permitieron aclarar qué era realmente importante para nosotros, y cómo hacer los cambios necesarios para vivir de acuerdo a ello. Kensho Life es nuestra oportunidad de compartir con otras personas toda esa experiencia y conocimiento....read more",https://users.insighttimer.com/s5X6R7D6j0z8A1W2k1m9u6A6B6C0g4A7z9S5S3P6J0v9A0k3p0x0B8k4H1n6H9b4v4E8A0E3K7D7T9N8n4k9B6h0s2U8u7S4x1b7/pictures/square_medium.jpeg
7509,karenross,k,76,2022-12-11 17:23:46.913171,name found,Karen Ross,"Auckland, New Zealand",2.0k followers,English,Joined in Sep 2016,"Karen Ross is a coach, intuitive healer, and teacher. She’s an ex-corporate woman and ex-stress junkie who knows how to get stressed-out business owners and professionals out of the mire of busyness and burnout and into their ideal flow of ease, sanity, and brilliance. She also heals trauma.
She’s particularly passionate about ditching stress, escaping the norm, and crafting your life to be an expression of who you really are. Oh, and live a soul-led life. Hell yeah.
 
Start with you....read more",https://users.insighttimer.com/B2k1w2y9R2Y9r7Y9A2S6e6e9X1c5b7A1s2b7U3E0e2j4G9Q5C5v8U8S4z8e5s9P2w1A4h4V2K7M1m7B7Z7W2d6c2a4z6R8T2d1g9/pictures/square_medium.jpeg
7510,karinamorales,k,76,2022-12-11 17:23:56.147581,name found,Karina Morales,"Seville, Spain",1.9k followers,,Joined in Sep 2016,"Hola mi nombre es Karina y desde hace unos años la vida me llevó a hacer todo lo posible por convertir mi pasión en la vida en algo más que una afición. Me dedico a ""Tejer Humanidad"" 
Como profesional lo hago impartiendo clases de yoga, meditación y el pograma MBSR basado en Mindfulness, estudié también Naturopatía y utilizo como complemento las Flores de Bach, habiéndome formado con el Bach Centre
Mi mayor afición es hacer ganchillo y he encontrado en ello la forma de exteriorizar un sentimiento que me acompaña desde que tengo uso de razón
Mi propósito de vida es ayudar a que las personas tomen consciencia de lo que aportan en el mundo y como pueden potenciarlo y fortalecerlo
Formamos parte de un mundo, un espacio infinito en el que sin conexión no podemos respirar
Conectar, Respirar y Ser con consciencia de unión...read more",https://users.insighttimer.com/z6U3Z8z9P8L8A0K5q6q8e4b1P6h7R0q3T8e9m5Z0V3N7b9z5U5m1h1b5E7W5U1q9d4r7a3t5z4J2W4Y2a7f0J7h3g9F8H8j2r1Z8/pictures/square_medium.jpeg
7511,kgreen32,k,76,2022-12-11 17:24:06.822411,name found,Kevin Green,,1.9k followers,English,Joined in Nov 2020,Kevin has a passion for bringing nature to others through both sound and the written word. He believes nature is the best medicine for inviting more restoring calm and rest into our lives. He is the host of the Sound Asleep podcast....read more,https://users.insighttimer.com/f0h5h2v2q4G3m3E5q4z2Y5R0C3z2p7G7Y3Y7z9r9E4E1K0r7u8n2J9t5M8d1K1C3p3c0G0C4s8L0z0W5u6T8q8w6K1C7F0t2j9g4/pictures/square_medium.jpeg
7512,kellywerner,k,76,2022-12-11 17:24:16.800284,name found,Kelly Werner,"San Francisco, CA, USA",1.8k followers,English,Joined in Sep 2016,"Kelly Werner, Ph.D. is deeply committed to helping people thrive and flourish in their personal and professional lives. As a psychologist and an executive coach (http://sf-act.com/), as a master mindfulness trainer (www.siyli.org), and as the creator of the authentic conversation game Tell Me… (http://tellmethegame.com/) she helps others to actualize their potential. Her work is informed by her Ph.D. in from UC Berkeley, and her research in clinical behavioral-neuroscience at Stanford....read more",https://users.insighttimer.com/Y8X4w3Q6w9t9f2G7U9F7P5h7u4Z4K8C0X7C9E9M9P8x3n0W6X5U0G8K9U9w4T3d8V1D8m3D4Q7c0m3Z4r4C9Q2T5X2S2Q1Y2m7r5/pictures/square_medium.jpeg
7513,kathrynoverall,k,76,2022-12-11 17:24:25.820932,name found,Kathryn Overall,"Tauranga, New Zealand",1.8k followers,,Joined in Sep 2016,"Kathryn Overall is a singer/songwriter from New Zealand. Her melodic, storytelling folk/pop songs are infused with contemplative spirituality and mindfulness themes which add richness to the beauty in her work. Her debut album,'Not All the Leaves Are Falling' was released in August, 2016. Visit www.notalltheleavesarefalling.com for songs, videos and stories....read more",https://users.insighttimer.com/n1m2m1M7Q5J1w1j2D6V5n3X2p9H7F9t5j5w3J3Z4L2D3u5H0U9N0S5k1f5u0V4a2g9H7A1L2H9H3m2S7R9K5n4c6D5X0F4Z4n3S4/pictures/square_medium.jpeg
7514,securethemood,k,76,2022-12-11 17:24:35.424203,name found,Kris Lingham,"Los Angeles, CA, USA",1.8k followers,English,Joined in Nov 2021,"Kris Lingham is a meditation and mindfulness teacher, sound healing practitioner, spiritual student, advocate for holistic and mental health, and creator of Secure the Mood.  Kris focuses on meditations surrounding self-awareness and self-care while fostering mindfulness practices inspired by love, compassion and equanimity for the universe within and around us....read more",https://users.insighttimer.com/q1j7G6q4R5B4m5V5N0e6M4g5M1E4q3J1A5B1k2j9w0L8r6W3Z4h3U5D7Z4h9t0L4A0a0B3M2q9K0N9g4c1B0b9m5C1x1C5Y9B6b0/pictures/square_medium.jpeg
7515,paulamuran,k,76,2022-12-11 17:24:47.899951,name found,KumariDevi,"Arizona, USA",1.8k followers,English,Joined in Sep 2016,"KumariDevi offers contemporary Self-Realization teachings and insightful guided practices to accelerate your awakening process. A modern Bodhisattva, Master Healer and Author, KumariDevi is unlike anyone you’ve ever met. Her connection to the Divine is undeniably present, and she embodies Presence-an evolved frequency of love. Her healing work focuses on breaking the patterns of pain and suffering and enlightening the ego....read more",https://users.insighttimer.com/G6Z8E9D3d6L2Q4C1K5y4J3Z5g7F8K9U0w9A3d3u5F9t3s9r4C6Q6n1N3t1X2R9w6X3g4E2n5p9x4H0G3m1Z6n1N9X8D5k6d5a4R5/pictures/square_medium.jpeg
7516,kathleencator,k,76,2022-12-11 17:25:03.809655,name found,Kathleen Cator,"Byron Bay NSW, Australia",1.7k followers,English,Joined in Sep 2016,"Kathleen is a Clinical Psychologist and Certified Mindful Self-Compassion teacher. Kathleen discovered compassion and mindfulness practices to be a useful antidote to her self-critic and essential self-care when juggling study, working with clients and mothering three children.  Kathleen has trained with many inspirational teachers, including mindfulness pioneer, Jon Kabat-Zinn, and the founder of Compassion Focused Therapy, Paul Gilbert. She obtained a masters degree in Clinical Psychology at Swinburne University of Technology. She later completed Mindful Self-Compassion teacher training through USCD Centre for Mindfulness with the program founders Kristen Neff and Chris Germer....read more",https://users.insighttimer.com/G3C0K4g1Z4C4A0T9g4X2g2L8f2k4S9Y9F4W8j2r5X8v0a0c5Q3W2B8n7E5X8r9y6E6L3c0r6N2p4P9c5f2Q4s3X2t0j3C4S0B7K2/pictures/square_medium.jpeg
7517,katiewise,k,76,2022-12-11 17:25:15.320981,name found,Katie Wise,"Boulder, CO",1.7k followers,English,Joined in Nov 2016,"Katie Wise is a Boulder, Colorado conscious music artist fusing the sweetness of devotional mantra with roots music and chick power. Her music features angelic harmonies that soar over an array of western and Indian instruments, and is praised by Dave Stringer as combining “beautifully nuanced country and Americana influences, inflected with just the right amount of Eastern mysticism.”
...read more",https://users.insighttimer.com/j5w4C0S4F6Y6m8V7L1v5e4g3t2r8b6S1C5E9R5M7x1j9T3f9F8a1h4d4p0n3z9W6E5e0M3e1j5t2Q1d6s4q5Z0N4w8X6v7J3z2H1/pictures/square_medium.jpeg
7518,keminekvapil,k,76,2022-12-11 17:25:23.271859,name found,Kemi Nekvapil,,1.7k followers,English,Joined in Aug 2022,"Kemi Nekvapil is one of Australia’s leading credentialed coaches for female executives and entrepreneurs, an author and a highly sought-after international speaker. She has studied leadership and purpose at The Gross National Happiness Centre in Bhutan and trained with Dr Brené Brown to become a Certified Dare to Lead Facilitator, working with teams and organisations to create daring leaders and courageous cultures. Kemi is a facilitator for The Hunger Project Australia and a regular interviewer of industry icons including Elizabeth Gilbert, Martha Beck and Marie Forleo, and she hosts the number one ranking podcast The Shift Series. With a level of compassion and wisdom only gained through extraordinary life experience, Kemi is a powerful advocate for connected, value-based living. In March 2022, Kemi released her third book, POWER – A woman’s guide to living and leading without apology, in partnership with Penguin Random House....read more",https://users.insighttimer.com/6cTMt22ZCQZIwePwX0hQn189ob42/pictures/square_medium.jpeg
7519,kenwilber,k,76,2022-12-11 17:25:46.504040,name found,Ken Wilber,"Denver, CO, USA",1.7k followers,English,Joined in Oct 2018,"With over two-dozen published books translated in many languages, Ken Wilber has created what is widely considered the first truly comprehensive Integral Map of human experience.  By exploring and integrating the major insights and conclusions of nearly every human knowledge domain in existence, Wilber created the revolutionary AQAL Integral Framework.  He is the founder of the nonprofit think tank Integral Institute and co-founder of the transformational learning community Integral Life....read more",https://users.insighttimer.com/q5G8y7v1b8s5h8Y8L0Y4g9j4N5q1E9U8D0g0K6f0F7D7F3C1U8f3w5H6a3C4B7S0F0X5j6p6x6T7u0P4t6g4m5u1s9t9b5m2p4r6/pictures/square_medium.jpeg
7520,karenberg,k,76,2022-12-11 17:26:10.427655,name found,Karen Berg,"New York, NY, USA",1.6k followers,English,Joined in Mar 2017,"Karen Berg is the Founder of the Kabbalah Centre International. As the wife and spiritual partner of Kabbalist Rav Berg, Karen worked daily for the last 50 years to simplify this profound wisdom and make it open and accessible to everyone without exception. This involves the continuation of publishing ancient kabbalistic material. Only with her guidance is Kabbalah now made understandable and relevant to everyday life; her vision was to develop local centres around the world as places for spiritual communities to develop; she helped young people with a penchant for Kabbalah grow into scholars whose focus is not only wisdom, but also the well-being of people. Today Karen is an active and present spiritual example of a life of positive action married with consciousness and constant growth and awareness. And yet, with all of this what you feel from Karen when you meet her is her simple unconditional love of people.
...read more",https://users.insighttimer.com/Z2x1c2V4Z9p4m0M9R0P8W9q8R5J5T8G4E5c1h6v8N5W1f1b2x3u8d9q6U9x1V6V1J9T4e2j7y9N3A8h4U2Z1H7u1w9x9n3w3W9p8/pictures/square_medium.jpeg
7521,centredsouluk,k,76,2022-12-11 17:26:19.037477,name found,Kamala K Brown,"Box, Wiltshire, UK",1.6k followers,English,Joined in Mar 2019,"Kamala is the voice and creator of Centred Soul. She is a healing artist weaving: meditation, journeying, alchemy crystal singing bowl sound, spoken word and art. Her gifts are offered from the quantum space of the Forestside Healing Lodge and recording studio in England, United Kingdom....read more",https://users.insighttimer.com/Q5s5b7n4t2A7V7M0Z6n5A0p5t1D9R7a3b0T9x7f5S9q1v6G4k8c5Z9A2M8L2G8n1e8v8F4P1C1r5C8D6T8A6B3Q7N8E7P6q5E7B6/pictures/square_medium.jpeg
7522,karenpok,k,76,2022-12-11 17:26:29.453722,name found,Karen Pok,"City of Gold Coast, Australia",1.5k followers,BR. Português,Joined in Jan 2019,"Criadora de conteúdo apaixonada por inspirar pessoas a sonhar grande! <3 


",https://users.insighttimer.com/f7m6d9F4z4A8r1H4E1n6A1R7w7N7v2g3B1y2z7b2Y0V2e7X2J5p4F3s2w9S7h1p8g5y1C3B8q6X9c8B3E3L5p8C0t4F7j3Z2w9G0/pictures/square_medium.jpeg
7523,karenbell,k,76,2022-12-11 17:26:40.189996,name found,Karen Bell,"Ottawa, Canada",1.5k followers,English,Joined in Jun 2020,"Hello, my name is Karen Bell. I have created this platform as a space for people to find support and guidance in building a deeper connection with one's self. This is about shifting out of victim consciousness and into the mindset that everything happens for a reason. Every experience is an opportunity for us to grow and expand on a spiritual level.

We are spiritual beings having a human experience. We live with one foot in The World of Humanity and one foot in The World of Divine Truth.

Through meditation, we are able to raise our vibration and connect to The World of Divine Truth on a deeper level.

When we are able to release old ways of thinking and shift into the mindset that life is happening for us, not to us. We experience life in a new way.

We become able to identify and heal false belief systems. Allowing us to discover and express our true selves.

Breaking free from victim consciousness is the key to health, personal power, and spiritual growth....read more",https://users.insighttimer.com/Y6y8T4q5K9h0n5S2d1d0v7W5Y5a4J3B4S3w9x6m4J5r7a1M6w3f1r9d6a1f8w0W4w1d5k9k4f6K9K4J4s0c0W1z1X5D7r1A8N9P5/pictures/square_medium.jpeg
7524,katehorsman,k,76,2022-12-11 17:27:05.424329,name found,Kate Horsman,"Vancouver, BC, Canada",1.5k followers,English,Joined in Jan 2019,"Kate Horsman is a Nutritionist, Counsellor  and Mindfulness Leader in Vancouver BC. Her training through both professional counselling and nutrition, meld the bridge between the mind/body connection which lends to her specialization in Eating Disorders, Mental Illness. Using food and thought as a medium for change.Her education is vast but moreso her life experience which she credits most to her work that engages clients in creative and meaningful change through food, mind and compassion.  ...read more",https://users.insighttimer.com/Y3N5r9S2g8g0K5w4b8N4g7r6M2y0P7y7h7L3X7z8V0Y9B3y7y5m2e0X1m6L6d0K5S3z6M7R1h6n7X0h8A5j3d6Q9M2K9g0F6G4w5/pictures/square_medium.jpeg
