,teacher_id,alpha_index,batch_id,scrape_date,scrape_status,teacher_name,location,followers,languages,date_joined,about,image_url
1300,neprosto__nastya,a,14,2022-12-11 04:39:10.476668,name found,Anastasiia,,14 followers,Русский,Joined in Feb 2022,"Анастасии 30 лет. Мама троих девочек.
Является проводником гвоздестояния и практикует нумерологию. 
Создает медитации, которые меняют жизнь, отношение к себе, своему телу. 
Все практики, которые она дает, она применяет и практикокует на себе....read more",https://users.insighttimer.com/kv6RZY6dC3bXNThvjngvhITevb03/pictures/square_medium.jpeg
1301,angelacruz,a,14,2022-12-11 04:39:13.009728,name found,Angela Cruz,,14 followers,English and BR. Português,Joined in Jun 2022,"Angela Cruz is a Global Educator & the Creator of the Akashic Alignment Consciousness, whose Soul Purpose is to allow you to be attuned into your Akashic Truth & Uniqueness and develop a deep sense of connection into your divinity and pure worthiness.
Her passion is to inspire and help you to manifest your spiritual vision as a leader of light through your soul mission and unique gifts....read more",https://users.insighttimer.com/U997HP8vGfStqN9J44EEcQB9Yno2/pictures/square_medium.jpeg
1302,andrea.tamaru,a,14,2022-12-11 04:39:32.564654,name found,Andrea Tamaru,"Munich, Germany",14 followers,English and Español,Joined in Apr 2022,"Andrea is a sensitive soul that loves to walk barefoot and talk to the stars. Since 2017 she has been exploring her own way to understand life and share it with anyone willing to listen. 
Even though she likes deep topics, her Spanish warmth always comes through to light up the heart.
This space is for anyone that feels the call to go deeper within, feel hold from the heart and openness to experience....read more",https://users.insighttimer.com/LochqXIzfKaBC47tnYhva4XVYF13/pictures/square_medium.jpeg
1303,annieclarke,a,14,2022-12-11 04:39:35.185513,name found,Annie Clarke,,13 followers,,Joined in Nov 2020,"Annie is a London based yoga teacher, committed to empowering the community to connect to yoga to support their experience of life beyond the mat",https://users.insighttimer.com/ktI3zy3uXdXphNHynUf3IOjUEvG3/pictures/square_medium.jpeg
1304,moga,a,14,2022-12-11 04:39:59.923059,name found,Angie Johnston,"Alabama, USA",13 followers,English,Joined in Jan 2020,"Sleep Meditation Spiritual Teacher, Writer, Intuitive. Writing meditations to take you deeper into the secret chamber of awareness, calming your conscious mind, retraining your mind for deep sleep states. ",https://users.insighttimer.com/c3L0a2R8k6x5Y7B4E2y5Y5v7m8A2y0F5Q3t5S5R5V4u5a1L8c2r5C1F3t0H6D4v2C3C1J5Q9f3y7n4F3g3J8D6B8A5C6f9R5k7w1/pictures/square_medium.jpeg
1305,annabalston,a,14,2022-12-11 04:40:02.612918,name found,Anna Balston,"Perth, Western Australia, Australia",13 followers,,Joined in Jul 2019,"Hi! I'm Anna, a Tantric meditation teacher. I've trained in Vedic, Tantric and Vipassana meditation with teachers around Australia and the world. I teach in a way that brings together the best of each of these practices to make meditation easy and accessible for even the most busy and/or anxious among us. Enjoy! ...read more",https://users.insighttimer.com/c9x2D0S1X2c3j2e6y0S0J0m2M2r1E5N8x4e6R0N1q1m0M7Z5Z8E2P9N8q5S7K9s3Y8p9U0N5z6b7t4F1r5C2r7W1R2j8g0A4D9j1/pictures/square_medium.jpeg
1306,presspauseamy,a,14,2022-12-11 04:40:05.278998,name found,Amy Hebert,"Rochester, NY, USA",13 followers,English,Joined in Feb 2021,"Amy is a mother, writer, modern wellness expert, nature lover, and a voice for inner change and global healing. She has overcome anxiety and other challenges through multiple natural healing modalities and credits increased true self-awareness as a huge contributor to her healing journey. Amy created ""The Current Practice"" which is based on a belief-shifting workshop that will be launching in early spring 2021. She loves guiding others into a state of calm and to help them realize their fullest potential. ...read more",https://users.insighttimer.com/Izkk8V33oyXU23YoQv24cCTHjC92/pictures/square_medium.jpeg
1307,ankitrao,a,14,2022-12-11 04:40:07.783099,name found,Ankit Rao,"Victoria, BC, Canada",13 followers,English,Joined in Aug 2020,"Hi.

My name is Ankit and my cultural background is from the meditative climes of South India. I was raised in England and now call the natural splendor of Vancouver Island, Canada my home.
I invite you to breathe in, breathe out, and offer yourself some well-deserved self-care.

Welcome home....read more",https://users.insighttimer.com/v1Y5K0x4S5f2v3y0g9Q8d8q7H0R4k9x7s1n4L2D9d4C3F4w1h1c7j0x6Y3r2f1E0h4E6H9k0G2k1x2U7B3z1w7g5H1Z8Q3K7M9L0/pictures/square_medium.jpeg
1308,alex_one,a,14,2022-12-11 04:40:10.462314,name found,Alex One,"Berlin, Germany",13 followers,English,Joined in Jan 2021,"Thank you for being here. My name is Alex and I'm here to help you love yourself, find inner piece and relaxation. ",https://users.insighttimer.com/9m6s61G0cHdrG18A0Z6EoyFcSaL2/pictures/square_medium.jpeg
1309,annafarney,a,14,2022-12-11 04:40:29.247764,name found,Anna Farney,,13 followers,English,Joined in Aug 2022,"Anna is a 500 hr registered yoga instructor as well as a NASM certified personal trainer. Anna has been practicing asana yoga for over 10 years. Anna’s is committed to helping others and making the world a better place through a combination of yoga, mindfulness, and fitness....read more",https://users.insighttimer.com/e7x6P2N1V2Z2s8p2g6e1p0W1j2E6Z0z9M7z6a7c1p7Y1N6n4L3x4Z9E1J8u9u3S3P4c4Y3y0c2n9K6H3S2X6x2K1R1T6G2W0N8p8/pictures/square_medium.jpeg
1310,alex.c.lehmann,a,14,2022-12-11 04:40:41.855606,name found,Alex Lehmann,"London, UK",13 followers,English and Deutsch,Joined in Sep 2021,"Alex is a certified Yoga Instructor, Spiritual Teacher & Transformational Coach from Hannover, Germany. 
Having spent the last 6 years dedicated towards his personal development, his passion is to guide others in claiming their authentic self & connecting to their own, inner power. 

Having studied from various different fields, his approach is a crossroad between western & eastern disciplines - to bring a scientific, practical outlook whilst remaining heart-centered.

For more information, check out his Website below...read more",https://users.insighttimer.com/v9BrM4hQttZ9VlzSJ2TKYyz3pqz1/pictures/square_medium.jpeg
1311,freedomwithfoodandfitness,a,14,2022-12-11 04:40:44.703213,name found,Alana Van Der Sluys,,13 followers,English,Joined in Jun 2021,"Alana is the founder and CEO of Freedom with Food and Fitness (on IG @FreedomwithFoodandFitness)

She helps women: 
*love their bodies
*stop dieting and find food freedom
*eat intuitively 
*find joy in fitness

She's also a high school English and journalism teacher, boy mom of one, lover of cocktails and movies, fitness enthusiast, avid reader, and lifetime learner. ...read more",https://users.insighttimer.com/NYQYhnzq8dSMSYBTPj7l1hQKwD82/pictures/square_medium.jpeg
1312,yogasembodiment,a,14,2022-12-11 04:41:03.689907,name found,Alice Cammock,,13 followers,English,Joined in Mar 2022,"I am a trained yoga teacher and highly experienced meditator. Yoga as Embodiment is about coming back to the present moment   through your body and it all it has to offer you, from the breath, to the sensations and feelings.",https://users.insighttimer.com/h6w6J0g9H0C8q7a8w5u5r2a0S7k9d3d6A2u2Y1Z6A4R3W2P3e1u9W6Y3C9M7r7Q3B8V9L8j0F9Q7P3z5Z6K8u9c7N2r0v2E0u7y4/pictures/square_medium.jpeg
1313,anisahamat_,a,14,2022-12-11 04:41:06.418813,name found,Anisah Amat,"Denver, Colorado",13 followers,English,Joined in Oct 2022,"Anisah Amat is a mindfulness meditation guide who is currently receiving certification through the Jack Kornfield and Tara Brach meditation teacher training program.

She was lead to join the program after writing and recording meditations for pregnant and new mothers. She also lead mamas in live guided meditation sessions that encouraged grounding and acceptance throughout their journey. 

She is a writer and certified facilitator who received her Masters of Fine Arts in Creative Writing and Poetics in at Naropa University. 

Through writing and meditation, she believes a part of her purpose is to guide people (especially mothers) to their healing and to return home to themselves. 

She lives in Denver with her husband and two daughters....read more",https://users.insighttimer.com/v9T1W8x5G5v7L6N8e3t6h2p9u1b1r1s2a2L9c5W7a6W9v7e2V6Z4k9t9q3z3s8S8d2A4D2g7u0c5E8Y9P1e1a3k2r8p7N1U6T7d8/pictures/square_medium.jpeg
1314,alinerenee,a,14,2022-12-11 04:41:09.045136,name found,Aline Renée,,13 followers,"BR. Português, English and Español",Joined in May 2022,"Professora de Yoga desde 2009, Coach de Propósito de Vida, Master em Programação Neurolinguística, Aline Renée é uma especialista na arte de renascer, como seu próprio nome indica (Renée - ""nascido de novo"") e assim ela inspira e apoia você a se conectar com a sua Verdadeira Essência para resgatar o seu Poder Interior....read more",https://users.insighttimer.com/6u8KyvyWB6Q5gOVNhpr1hPjAjT52/pictures/square_medium.jpeg
1315,ann.petersen,a,14,2022-12-11 04:41:35.874966,name found,Ann-Kathrin,,13 followers,"English, Deutsch and Español",Joined in Feb 2022,"Ann is a self-empowerment and mindset coach, helping women to live a life led by their intuition. As an EFT practitioner, she helps women to tap into their full purpose and potential.",https://users.insighttimer.com/hV3uXsgOesTqJYIAYOXZEVnoUUD3/pictures/square_medium.jpeg
1316,about_yoga,a,14,2022-12-11 04:41:38.802508,name found,About Yoga,,13 followers,English and Svenska,Joined in Oct 2022,"About Yoga consists of meditation teachers Sheila Arnell and Magnus Fridh. 
The practices of pranayama and meditation are central to their teaching. The Stockholm-based teachers teach in an inclusive, conscious way where everyone can participate. All you need to do is show up. Magnus Fridh is also known for his book called ""The Art of Stillness in a Noisy World"" which is to be found in 7 different translations....read more",https://users.insighttimer.com/BaPZEYMptFhVK9W9UoFoLbi4c7v2/pictures/square_medium.jpeg
1317,coachaubreybahr,a,14,2022-12-11 04:41:41.437016,name found,Aubrey Hone Bahr,,13 followers,English,Joined in Aug 2022,"Aubrey is a SRT (Subconscious Release Technique) Coach, Reiki Master and Christian woman living in Florida with her Husband, daughter and plenty of animals to enjoy. She loves being able to connect with others, use her words to heal and inspire others to do the same. She is also a professional photographer and creative entrepreneur. She loves to travel and explore with her family....read more",https://users.insighttimer.com/h4D1k7n8L6u1P0C6Z6h2g6j4R8J2j2H7n8V6p0R9G5H2e2Q4s2B4S9Q7d3c0a8h0J7y6S1Y5v1k1N8w9F4E3N3T2c5U5h4D6J4v7/pictures/square_medium.jpeg
1318,alexcabb,a,14,2022-12-11 04:41:44.032140,name found,Alexia Cabbadias,"Buenos Aires, Argentina",13 followers,Español,Joined in Aug 2019,"Bienvenidos a mi perfil!: Mi nombre es Alexia Cabbadias, soy de Buenos Aires, Argentina. Soy Terapeuta Holistica (Terapias Orientales y Coaching Emocional y Espiritual) y escritora de 2 libros: ""Microuniverso: un viaje hacia nuestro Cosmos Interior"" y ""Relatos de Meditación"".  Algunas de las terapias que utilizo con mis pacientes son:
Terapia Floral 
Terapia de Respuesta Espiritual
Meditacion y Visualizacion Creativa. 
Reiki  Usui y angélico
Tambien brindo cursos y talleres de Autoconocimiento...read more",https://users.insighttimer.com/e2d0m5M5D1k8F9N7a9A3j7S2q1P8R0M4T3W7h0P0G3C3T2N2C2P3E2e4W1G3B5Z2z7b8n6w0e1r5J3H7f1T1h0U7s0D9j4r8G4F3/pictures/square_medium.jpeg
