,teacher_id,alpha_index,batch_id,scrape_date,scrape_status,teacher_name,location,followers,languages,date_joined,about,image_url
9100,leilainthelight,l,92,2022-12-11 23:40:55.915621,name found,Leila Davis,,42 followers,English,Joined in Jan 2022,"Six decades is a long time on earth! 
Leila has used some of it becoming a doctor, psychotherapist, retreat leader, yoga teacher and human design analyst. 
The balance has been spent searching for a way to connect with the spark inside her and blow on the flames. 
 Leila loves it when we blow on each others spark! It makes her skin tingle.
She's here offering her wisdom on insight timer because she spent too long in dark places, and knows them well: intergenerational trauma, the pain of difficult, lonely, unsupported childhood, the bewilderment of life as a lost young adult, the drive of overachieving to compensate, and losing herself in other peoples problems. 
She works with women like her, overachieving, professionals who learned early in life to disappear and care for others. Together they build awareness and connection to that lost spark of joy, so more vibrant, juicy and wholehearted beings can emerge to play....read more",https://users.insighttimer.com/b1L0U4A3x1D4z3m6n7u9r3X2M3p8X9m2n2p8N5j3E5S1u1E5H6s9L7K2U4v9N6C8n1j4m3w7x5A5F5a2P4r6N7Y3H9U7C1m5r7a2/pictures/square_medium.jpeg
9101,loriwald,l,92,2022-12-11 23:41:01.209723,name found,Lori Wald,"Chagrin Falls, OH, USA",42 followers,English,Joined in Nov 2021,"You'll never find Lori sitting cross-legged on a beach in a flowy robe, her perfectly coiffed hair blowing gently in the breeze, ensconced in tranquility, exuding serenity. IRL, you might find her cooking an overly ambitious holiday meal or trying to fit in one more errand before the start of  the next Zoom meeting. Lori does not teach people to meditate, but she does teach them to practice meditation. By sharing her personal stories and her own struggles with meditation, Lori teaches others they too can learn to bring more mindful moments to their lives with practice. She is a lawyer, a writer, a matriarch and a UCLA Trained Mindfulness Facilitator....read more",https://users.insighttimer.com/u5L0r8q8L9z2F2q0G6v2r4j9B8q3Q7C3s5r4n2Q2m5Q2c8k2K0g0t1q2G7p4s0B4b1e9J7a6X7D7Q6X6v2r3m7D3Z5s2Y9a2D2d0/pictures/square_medium.jpeg
9102,luisamoraes,l,92,2022-12-11 23:41:10.872591,name found,Luisa Moraes,"Belo Horizonte, State of Minas Gerais, Brazil",41 followers,BR. Português,Joined in Mar 2020,"Yogini e Educadora Física, formada pela Universidade Federal de Viçosa (UFV), atua como treinadora de saúde de forma integral, alinhando conhecimentos técnicos com energéticos, fortalescendo e equilibrando corpo e mente. Praticante de Yôga a 10 anos, com mais de 500 horas de certificações e aperfeiçoamentos em Hatha, Vinyasa, Iyengar, Ashtanga, AcroYôga e Mindfullness em Instituições renomadas, harmoniza tecnicas intuitivas e cromoterapia para as meditações guiadas.
...read more",https://users.insighttimer.com/h8B9Y7v6L7f0H8A8M7P6a7x0k1Q0A6v1V5p4z9Y2k8C8t1P0a5B5h7g5G3u3S7m3D8k4Q2B1x0f7B3z0L5Y0U7f3L4c4M3U2m1N4/pictures/square_medium.jpeg
9103,akabehappy,l,92,2022-12-11 23:41:18.931586,name found,Lisa Garrido,,41 followers,English,Joined in Oct 2020,"Lisa Garrido, creator of She Is Thriving, is an Intuitive Guide and a Mindfulness & Movement Facilitator based in California.  Through story-telling, her meditations, sessions, and trainings guide you through a transformational journey of self-care, self-love, and generational healing that empower you to reconnect to who you really are so you can hear your intuition and believe in your own power to self-heal and live the life you know you're meant to live....read more",https://users.insighttimer.com/u6D2d7S0m4H2Q3a3L4x5D5s9H4R5B6P6V7f0k9r9B6x0b1b3K2q2A3V9W3H0E7f7e9E9k7w8e0N6s9V7S5J5c6M4T2W5C2x6F8w6/pictures/square_medium.jpeg
9104,lillybalch11,l,92,2022-12-11 23:41:27.093219,name found,Lilly Balch,"New York, NY, USA",40 followers,English,Joined in May 2020,"Lilly Balch is a NYC based therapeutic yoga instructor, meditation teacher & creator/host of The Morning Ritual Podcast. She seeks to support your sense of presence, internal strength, and inner peace through a balanced combination of movement and stillness. ...read more",https://users.insighttimer.com/t4f4W1X6g6n6x6E3t8j4x6H6w0v8r1k3n9K9r0a5T8e6f8g8P9Z4Z0B9U9S1q5j5u6W7c1a0r3F0t2M1x5b8F3p5v2b9n4c2C2r6/pictures/square_medium.jpeg
9105,leahughes,l,92,2022-12-11 23:41:35.177039,page not found,,,,,,,
9106,liesldrought,l,92,2022-12-11 23:41:43.834806,name found,Liesl Drought,,40 followers,English,Joined in Jun 2021,"Nicknamed the Burnout Coach, Liesl Drought is a certified Life and Career Coach who helps achievers deal with stress, imposter syndrome and overwhelm so they can live a calmer and more confident life. Just a few years into her meditation practice herself, Liesl focuses on sharing easy exercises that help calm a busy brain. With a background in biology and human resources, Liesl loves including perspective on how the brain works and impacts our daily lives. ...read more",https://users.insighttimer.com/UmNAnnWM73MGhwdyMK1IbvIqWZ43/pictures/square_medium.jpeg
9107,lucidquest,l,92,2022-12-11 23:42:07.760047,name found,LucidQuest Labs,,39 followers,,Joined in Mar 2019,"Witness self, free thought, imagine, relax, sleep, invigorate, learn, or produce. Led by founder Michael Kelley, LucidQuest Labs, is a grassroots consortium merging science and art to meet the needs of humanity's conscious condition. LQ Labs specializes in developing brainwave entrainment programs and soundscapes with field recordings and mind-enhancing music using: binaural/monaural/isochronic techniques, stereoscopic effects, and geometric/fractal sound imagery. Listen to experience Now....read more",https://users.insighttimer.com/X0A4J8G2q4V3r4b1C2p0r7C7v9Y3e7f5a1T0G1Y4P1F7x6h7k2h8V9N9d7x9u0X9Z2e0R7B6V4P8Z7F1L0b1m7T5r5X7R4p6d5e6/pictures/square_medium.jpeg
9108,leighcampbell,l,92,2022-12-11 23:42:15.782789,name found,Leigh Campbell,"North Down, Bangor, UK",39 followers,English,Joined in Apr 2019,"Hi , my name is Leigh and I’m a Hypnotherapist, mindfulness teacher and Emotional Wellbeing Coach for the last 7 years, I specialise in anxiety and trauma and love to see people getting their confidence and peace back, I teach and see clients via Skype all over the world and love my work....read more",https://users.insighttimer.com/w0m7u7w3n8d3y2X7s1C3p9x4Z9z5v7m0y8Y0j1r6E1U3k9u4b2E4A2W9F1A0m1A6d0W9u2T2w7j4x9q1X7w5b4c2t0G9P6H1p9z5/pictures/square_medium.jpeg
9109,laurenehopeglory,l,92,2022-12-11 23:42:23.118419,name found,LaureneHopeGlory,,39 followers,English,Joined in Feb 2022,Laurene is an intuitive songstress speaker coach. Born in Dublin grew up in Israel. She uses her work to help raise the vibrations. She runs a tv station Moving on tv mental health . Laurene is also a Light language expert and she uses acoustic sounds to help with chakra work and to inspire. .Laurene’s dream Is to  to spread  peace with her talents showing how unique every person is by finding their inner strengths and creative ways to manage life and it’s challenges....read more,https://users.insighttimer.com/pKEkPQPaPuUs8FVfznBbjY5RAeg1/pictures/square_medium.jpeg
