,teacher_id,alpha_index,batch_id,scrape_date,scrape_status,teacher_name,location,followers,languages,date_joined,about,image_url
11100,epic.embodiment,m,112,2022-12-11 18:14:15.926966,name found,Mia Hozona,Stockholm sweden,,English,Joined in Nov 2022,"33 years into her love story with consciousness, Mia Hozona midwifes you gently into heart and brain coherence, and embodied time with your soul. She is a full time embodiment, breath and meditation trainer, and trainer's trainer, since 2010. Mia is also trained personally by Dr Joe Dispenza and serves as a neuro change solutions consultant....read more",https://users.insighttimer.com/e9c5r1S6R7u8B0N8m0h4V5G4H6s3X0c5Q1J1Z1Q5x5E9C4w1g9s0W7K0R9p1J3p6k4f1H4g0N1Z2W3n7X1j9K5t1c9h2Y7a2R1n8/pictures/square_medium.jpeg
11101,merryoga_,m,112,2022-12-11 18:14:34.644920,name found,Meredith Aggarwal,,,English,Joined in Apr 2022,"Born and raised in Central Texas, Meredith began practicing yoga in 2007 when she worked in nonprofits in Austin, Texas. In 2011, she followed a call to the red rock high desert of the American Southwest to study yoga. There she studied hatha yoga, ayurveda and yoga therapy under the guidance of many profound teachers at 7 Centers Yoga Arts, where the primary teacher, Sraddhasagar, was an initiate of Swami Niranjananda in the Satyananda Saraswati linage of Bihar University, and also influenced by Rama Jyoti Vernon. Meredith holds a 500-hour certificate as a yoga teacher and yoga therapist from RYT- and IAYT- certified programs.

She took flight to India and beyond for the past 10 years; and now, with 15 years of practice, study and teaching yoga and meditation in North America, Asia, and Europe, Meredith teaches mindfulness through empowering, rejuvenating, therapeutic yoga. 

Meredith lives in Delft, the Netherlands, with her partner, Ekansh, and their four-year-old, Shaan....read more",https://users.insighttimer.com/LUvPmGYRXZYRQXjOFQTApfD34B63/pictures/square_medium.jpeg
11102,naomigoodlet,n,112,2022-12-11 18:14:53.214836,name found,Naomi Goodlet,"Gold Coast, Australia",25.6k followers,English,Joined in Nov 2016,"Naomi is a holistic counsellor, tapping (eft) coach and psychology student from Qld, Australia. She works exclusively with women (Bookings Open). She creates short, practical, mindfulness exercises, as well as deeper guided healing and spiritual journeys....read more",https://users.insighttimer.com/q1f0d3m5Q2Q4M4Q7a7q9e7A3S8h6h8L4S5e0s8H1P5g8U2k9J1N3E6P1L4q1Z1a5W6d0f2J3w3d9C8Q0h9C4Z2R1D4k3v9x2T3L0/pictures/square_medium.jpeg
11103,newearthrecords,n,112,2022-12-11 18:14:56.243900,name found,New Earth Records,"Boulder, CO, United States",25.4k followers,,Joined in Feb 2017,"New Earth Records is an independent music provider that has been bringing visionary music to enhance well-being to audiences worldwide since 1990. Committed to spiritual enrichment, a healthy lifestyle, and an eco-conscious future, it features a number of albums designed specifically to accompany relaxation, meditation, mindfulness, yoga, spa and the healing arts....read more",https://users.insighttimer.com/p2H1P4P2v2Z4p5y5c6k9m9D3W5N4f3g6U7v6M7k4T1t2F9b5S7j5u3T5L2D3S8G9u0q0b9p0W9s8x6L4h2C4D5j5C3G3D7b1K0u4/pictures/square_medium.jpeg
11104,nicolebayliss,n,112,2022-12-11 18:15:23.112121,name found,Nicole Bayliss,"Sydney, New South Wales, Australia",17.5k followers,English,Joined in Jan 2018,"Nicole is an author, spiritual healer and soul path guide. Nicole’s work is centred on love, presence, spiritual connection and miracles. Her mission is to assist others on their path of awakening. She has many healing meditations and talks you can listen to here on the Insight Timer app. as well as her course Releasing Beliefs of Fear and Lack.  And you can join her on her monthly live events....read more",https://users.insighttimer.com/L8K9T6r0d0F0Z9G1N8V4s5S8X0J0Y1g5y1f2M9L7j9V4K4j8L8D7N8N8s2E7Z1Z8s7b6q1G9N2w3J2g0B9w7g6D6M9H8t7K5A9j4/pictures/square_medium.jpeg
11105,naturesoundemporium,n,112,2022-12-11 18:15:25.708391,name found,Nature Sound Emporium,"Los Angeles, CA, United States",12.8k followers,English,Joined in Jul 2018,"Thank you for listening to our selection of Healing Nature Sounds & Music.

Thank you to everyone that has made a donation. We are thrilled to have your support. Your generous donation will go towards worthy causes and also allow us to continue our mission of preserving natural environments. 

You truly make the difference for us, and we are extremely grateful! 

Be well!

- Natue Sound Emporium...read more",https://users.insighttimer.com/Z1w9e1Y7L1u1P7M7P6W7t7b6E8m0f7z8Q0N5m6L2C8p3G6w3V1Z4t8p1J1R7X9B6f3r2a0X4w9x3K5w2Q6D6L7y9U0e0r1u0C0Y5/pictures/square_medium.jpeg
11106,nhinhile,n,112,2022-12-11 18:15:45.047278,name found,Nhi Nhi Le,"Barcelona, Spain",11.6k followers,English and Tiếng Việt,Joined in Jun 2020,"Nhi is a Theta Healing Practitioner, Energy Worker, Spiritual Mentor & Mindfulness and Meditation Guide residing in Barcelona, Spain. She is an Earth Wanderer, a Time Traveller, a naturally-gifted alchemist who is unearthing the best of ancient teachings and bringing it to life for the modern-day mind to help people become the most authentic, empowered and aligned version of themselves. People carry specific vibrations and hold a unique blueprint - Nhi is here to help you discover yours !...read more",https://users.insighttimer.com/y4p9m9t3F2E1T5F1D7b4L2v4y9T5c3C6k8h2N8T0F0V1M5C8b5s5M8k4j4Y4b1A2G3W6m5Q8w5E8r2G2R4J9S8K9z8V3e5H9j3T6/pictures/square_medium.jpeg
11107,nickysutton,n,112,2022-12-11 18:15:51.799569,name found,Nicky Sutton,"London, UK",10.2k followers,English,Joined in May 2021,"Nicky Sutton, BA(Hons), DHP Acc.Hyp, Adv.DPLT, is a meditation and spiritual guide, author, hypnotherapist and past life regression therapist. I create meditations filled with love to expand your mind and your potentials!",https://users.insighttimer.com/N9fFIPjPfyMYaX945JRC8jyC96C2/pictures/square_medium.jpeg
11108,neiltranter,n,112,2022-12-11 18:16:10.997613,name found,Neil Tranter,"Guildford, UK",9.6k followers,English,Joined in Sep 2016,"Neil is a mindfulness, breathwork and deep relaxation teacher based in Surrey, UK. He specialises in helping people to heal from anxiety, depression, brainfog, burnout and chronic illness. He works with private and corporate clients on a one-to-one basis....read more",https://users.insighttimer.com/S3Z6C2f1m9P6C0b8y6V4X8z7b5M4f5j7T7N5T6R8Z3M0K1z2S7Y6Z8a9u7A7d3p8t6j6d5C8Q9y9h7Q0C2g7t5S0g4X1p4w0V2k5/pictures/square_medium.jpeg
11109,nidsnidra,n,112,2022-12-11 18:16:29.871020,name found,Nids Nidra,"Manly NSW, Australia",9.4k followers,English,Joined in Jun 2018,"Yoga Nidra transformed Nid's healing journey. She was so inspired that she studied Nidra, meditation, symbolism, Law of Attraction, neuroscience and Akashic Records to deepen her understanding of the practices and mind. 

Nid uses an integrated style that can use strong imagery to shift deep-held symbolic beliefs and attachments, so be kind to yourself if the practice creates a response. 

Nid offers gentle approaches to life change. Join her circle for simple daily tips to a fulfilled life....read more",https://users.insighttimer.com/v5C2X2G2d9x5j6L7H9d8F3L7c0M0U1B8x9t0Z2L2Z6u9J2B1Z3P8q9N4r3L9y9D8D7j8Q1R8g2d7q9r6X0C2n7r9P2S4k1w4L1P9/pictures/square_medium.jpeg
11110,danielespada,n,112,2022-12-11 18:16:52.661417,name found,Nirodha,"Madrid, Spain",9.3k followers,English and Español,Joined in Sep 2016,"Nirodha is a composer and multi - instrumentalist from Spain. 
He has released 3 albums and regularly offers concerts of meditative music and Kirtan.
With a unique style and a deep sensitivity, his music is an invitation to open our hearts and rest in our true nature....read more",https://users.insighttimer.com/X6g7h5k3r4x3W0e9V2F9x9v9X3q9M3b1U6b6b9Q0U9q0T8U4k3j4w2y9u0A4S7n8T7E5t5T2m8D6n4V2C7D3C0Y2X1g0b3F8G1Q6/pictures/square_medium.jpeg
