,teacher_id,alpha_index,batch_id,scrape_date,scrape_status,teacher_name,location,followers,languages,date_joined,about,image_url
8600,growplusflow,l,87,2022-12-11 21:30:44.863350,name found,Lauren Maree,"Sydney NSW, Australia",1.0k followers,English,Joined in Nov 2018,"Lauren Maree is a certified Yoga and Meditation Teacher with a background in performing arts, positive psychology, neuro-linguistic programming and currently studying social science. Grow+Flow is a mindfulness movement that offers yoga teachings, spiritual guidance and community events centred around self-realization for transformative wellbeing. She helps to create a supportive and inspiring space for you to explore your self and how you relate to the world....read more",https://users.insighttimer.com/F9F8h2a7p1u9E3z3A5r0X0d1p5S0a0c0u7n1W6x9c3n9M5j2S0h8c8B2g3b0d1p0s8A5V7d2R9x0p8p9d6Q5y6e3d6X0c7m5z0Y8/pictures/square_medium.jpeg
8601,brianhilliard,l,87,2022-12-11 21:30:50.308154,name found,Lama Brian Hilliard,"Villastrada, Province of Perugia, Italy",1.0k followers,English and Italiano,Joined in Apr 2019,"Lama Brian completed the traditional 3-year Tibetan retreat. He teaches the basics of meditation based on a lifetime of spiritual practice. Lama Brian received directly, and in-person, profound instructions and empowerments from some of the great Teachers of Tibet, including Trungpa Rinpoche, Khenchen Thrangu Rinpoche and Khenpo Tsultrim Gyamtso Rinpoche. Lama Brian is developing The Power of Sound Healing trainings which infuse meditation with alchemy crystal singing bowls. He is especially inspired by the teachings of Milarepa who said that the phenomenal world is all the books one needs. Lama Brian's main focus these days is on beauty, simplicity, and harmonising crystal sound....read more",https://users.insighttimer.com/f3K8G8v1E8N4H0e4j8V9T0F3K1N8U3H6s2A8k9B2A3A1k6Y6x1M6S1B6q1J7W4F7R6e2B4P7A8E2F3C5P9W3z1m0t5E3D5a9y6w1/pictures/square_medium.jpeg
8602,leticiascorsi,l,87,2022-12-11 21:30:59.525245,name found,Letícia Scorsi,"Campinas, State of São Paulo, Brazil",992 followers,English and BR. Português,Joined in Sep 2020,"Doutora em Psicologia.
Especialista em Psicologia Analítica Junguiana.
Psicóloga clínica. 
Instrutora Pessoal de Meditação 
Experiência como docente de ensino superior 
Conhecedora e estudiosa da noção ampliada de saúde.",https://users.insighttimer.com/g4R8Z6n2u6p2J3w2r7r7A8J0L9X8v1F0e6Y1T5j3T8C6L5k4g5L6p6e3e2s0p9v0t4d2s5c8W1m3J9v4H9V1b4m5P4j4m3L1z2c2/pictures/square_medium.jpeg
8603,leslieriopel,l,87,2022-12-11 21:31:08.384553,name found,Leslie Riopel,"Independence, KY, USA",985 followers,English,Joined in May 2019,"Leslie is a Certified Meditation and Mindfulness Teacher & Creative Soul Exploring Mindfulness, Meditation & the SMART Body. Leslie holds a Master's Degree in Psychology & is also a Clinical Hypnotherapist who has written & recorded hundreds of guided meditations & hypnosis sessions for clients all over the world. Leslie's goal is to help people heal and add more love & light to the world....read more",https://users.insighttimer.com/t6M9u1k2B1Y6p1g4j2B7A3R8r2J2S6R1z7j1s8e4D0M4v8Q6b5j1g8a8K6W3a9S8k4G1K2b6Y4g1y5k1R7K3h1E7p9M7K7Q1L8f8/pictures/square_medium.jpeg
8604,bestlifeprof,l,87,2022-12-11 21:31:51.005159,name found,"Lynn Borenius Brown, EdD, LPC",,976 followers,English,Joined in Feb 2021,"As a counselor and educator, Dr. Lynn strives to help individuals heal and grow.  She has a telephone counseling practice and writes and publishes workshops, self-guided meditations, MP3s, and eBooks.  She developed MINDFUL LIVING (based on her Adaptive Choice Model) and Enhancing Recovery.   Dr. Brown earned her MEd and EdD from Florida Atlantic University.  She has been a member of the American Society of Bariatric Physicians. 

Her business motto is:  
Self-awareness.Empowerment.Growth

#empoweredmindfulness
#mindfulness...read more",https://users.insighttimer.com/DF6hPjk7BbcUHxgdDqS1jWgQvXp1/pictures/square_medium.jpeg
8605,luisamandala,l,87,2022-12-11 21:32:17.070648,name found,Luisa Côrtes,"Rio de Janeiro, State of Rio de Janeiro, Brazil",959 followers,BR. Português,Joined in Jul 2018,@na.mandala,https://users.insighttimer.com/x2K1h6A6U1k2Q8g3e2w1M3w4P4u5s2L4Y7c2W6R4F8p3C7F0C4s0j6J6k2L9t0q6E5R6j2B0s9s2n5k7q1r3H5b3U6E8M0P0j2S4/pictures/square_medium.jpeg
8606,laurengrogan,l,87,2022-12-11 21:32:26.418941,name found,Lauren Grogan,"Red Bank, NJ, USA",954 followers,English,Joined in May 2017,"I’m a Holistic Health Coach & Registered Yoga Teacher on the Jersey Shore. I love encouraging people to make health their priority by eating nourishing foods, incorporating healthy habits into their daily lives and practicing self care. ""The journey is the reward.""...read more",https://users.insighttimer.com/Q3T6k8u4p1v5W5e3J2Q2C1a1a5f2P2r2W0Y3s8L6W6K0H7V8N5S2N9b0A0x5e2K9W0x9M7z3A3D8U9a8j3N6u6K4t5N1X2c9k3S6/pictures/square_medium.jpeg
8607,lynzb,l,87,2022-12-11 21:32:50.449152,name found,Lynz Burton,"Leicester, United Kingdom",941 followers,English,Joined in Mar 2020,"Lynz is a yoga/mindfulness teacher and massage therapist in the UK. She specialises in stress/anxiety reduction, relaxation and rest. With 13 years in the wellness business, you are in good hands. Thank you for taking the time to view her profile....read more",https://users.insighttimer.com/t2Y5m3V7J5g9F6p5W2W6W0p6C3s4J7u7K5C0E2z8U6S7L4X8y1D4e8X9D1e3b7j4p5z3R4U3m7n0k8z4s6a2U0n4h0P4Y4f7x8y2/pictures/square_medium.jpeg
8608,llyncedarroberts,l,87,2022-12-11 21:32:59.462737,name found,Llyn Cedar Roberts,"Washington, USA",915 followers,English,Joined in Apr 2017,"Llyn Cedar Roberts is the award winning author of the Gold Nautilus award-winning book, Speaking with Nature, coauthored with Sandra Ingerman. An acclaimed teacher of Earth-based wisdom-ways, she also wrote Shamanic Reiki and Shapeshifting into Higher Consciousness....read more",https://users.insighttimer.com/x8h3v2J8d5p2p8j7d0G4k0G0a3W9B7B9D5A5t2N9r4J8Q4M2d5q7T1q8E1W8H6v8Y5b6R4T2D8N7C8t7G0u6H4Y8u0n8j3X3m2Z1/pictures/square_medium.jpeg
8609,lifext,l,87,2022-12-11 21:33:09.689589,name found,LIFE XT,"Chicago, IL, USA",915 followers,English,Joined in Sep 2016,"Life Cross Training (LIFE XT) is a human performance program based on a simple yet revolutionary idea: just as we train our bodies for physical fitness, we can train our brains for wellbeing, resulting in optimized energy and productivity. ...read more",https://users.insighttimer.com/U6j9X7m4w2k4w8k0z6u4k3N3u4A9c1G4Z8k5A0b7W2t1y9S9B5a4a1v8Z6t2R9D8u9T8X9h9f4u7z8b3v6T7j9n8J1G5s3s6a3K6/pictures/square_medium.jpeg
